"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co1",0,-20.5740013845799,0,1,0
"mt-Co2",0,-20.8057397767382,0,1,0
"mt-Atp6",0,-21.2036990428764,0,1,0
"mt-Co3",0,-21.2278915503334,0,1,0
"mt-Nd4",0,-19.4637369927517,0,1,0
"mt-Cytb",0,-20.1223705140466,0,1,0
"mt-Nd1",0,-19.5883330122113,0,0.999,0
"mt-Nd2",0,-19.5518041600786,0,0.997,0
"Ubb",0,-10.4919220022477,0.003,0.985,0
"Gm42418",0,-17.5395895647868,0,0.977,0
"Rpl26",0,-17.4214608108886,0,0.946,0
"mt-Nd3",0,-17.1525047405122,0,0.946,0
"H3f3b",0,-18.3390909722343,0,0.942,0
"mt-Nd5",0,-16.7321133021059,0,0.924,0
"Rpl14",0,-16.9150027883521,0,0.9,0
"mt-Nd4l",0,-16.4475795560198,0,0.879,0
"Gapdh",0,-16.9207085007528,0,0.874,0
"Selenow",0,-16.9826528356518,0,0.872,0
"Selenok",0,-16.7931291753582,0,0.868,0
"H3f3a,H3f3b",0,16.9484021043906,0.842,0,0
"Selenof",0,-16.1046930927809,0,0.818,0
"Elob",0,-16.3204151641133,0,0.816,0
"Hba-a2",0,8.28692956082107,0.838,0.024,0
"Uba52,Ubc",0,16.1727892607903,0.806,0,0
"Morf4l1",0,-6.65790187234832,0.007,0.794,0
"Sepp1",0,16.5003205805818,0.755,0,0
"Gm10076",0,-15.8026599498006,0,0.747,0
"Selenop",0,-16.6771066996575,0,0.742,0
"Sem1",0,-15.7241577131338,0,0.738,0
"Selk",0,15.4485143111346,0.716,0,0
"Selenos",0,-15.5493035025795,0,0.7,0
"Tle5",0,-15.7438578242681,0,0.698,0
"Atp5md",0,-15.4499136428829,0,0.689,0
"Gm15772,Rpl26",0,15.386120003109,0.686,0,0
"Rpl14,Rpl14-ps1",0,15.3697646196127,0.685,0,0
"Ndufb1-ps",0,-15.3247465893609,0,0.682,0
"Hbb-bs",0,0.292685038670574,0.791,0.117,0
"mt-Atp8",0,-15.1776866065866,0,0.671,0
