"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mgat4a",2.94043453204675e-09,-6.44362238440079,0,1,6.11286934867198e-05
"Cops9",2.94043453204675e-09,-7.25543280555756,0,1,6.11286934867198e-05
"Scamp3",2.94043453204675e-09,-6.44362238440079,0,1,6.11286934867198e-05
"Sem1",2.94043453204675e-09,-8.10815635753095,0,1,6.11286934867198e-05
"Trbc2",2.94043453204675e-09,-8.99418288733201,0,1,6.11286934867198e-05
"Tra2a",2.94043453204675e-09,-7.11154167102207,0,1,6.11286934867198e-05
"Gapdh",2.94043453204675e-09,-8.01734871731409,0,1,6.11286934867198e-05
"Uba52",2.94043453204675e-09,-7.53705191227154,0,1,6.11286934867198e-05
"Rpl14",2.94043453204675e-09,-9.92924386357679,0,1,6.11286934867198e-05
"Tle5",2.94043453204675e-09,-7.48849182892359,0,1,6.11286934867198e-05
"Ubb",2.94043453204675e-09,-8.97456497794363,0,1,6.11286934867198e-05
"Rpl26",2.94043453204675e-09,-10.6346903940038,0,1,6.11286934867198e-05
"Jpt1",2.94043453204675e-09,-7.11154167102207,0,1,6.11286934867198e-05
"H3f3b",2.94043453204675e-09,-8.71838853568589,0,1,6.11286934867198e-05
"Atp5mpl",2.94043453204675e-09,-7.75138458700693,0,1,6.11286934867198e-05
"Gm10260",2.94043453204675e-09,-9.22769068716537,0,1,6.11286934867198e-05
"Selenok",2.94043453204675e-09,-6.96028979190635,0,1,6.11286934867198e-05
"Trac",2.94043453204675e-09,-8.08029584730702,0,1,6.11286934867198e-05
"Gm10076",2.94043453204675e-09,-9.17312843022249,0,1,6.11286934867198e-05
"Snu13",2.94043453204675e-09,-6.84007398819542,0,1,6.11286934867198e-05
"Elob",2.94043453204675e-09,-8.00016092477736,0,1,6.11286934867198e-05
"H2-T22",2.94043453204675e-09,-6.79130325864247,0,1,6.11286934867198e-05
"mt-Nd1",2.94043453204675e-09,-10.3037087292289,0,1,6.11286934867198e-05
"mt-Nd2",2.94043453204675e-09,-10.1865710615051,0,1,6.11286934867198e-05
"mt-Co1",2.94043453204675e-09,-11.2717014885787,0,1,6.11286934867198e-05
"mt-Co2",2.94043453204675e-09,-11.5928144614623,0,1,6.11286934867198e-05
"mt-Atp6",2.94043453204675e-09,-12.2011163723913,0,1,6.11286934867198e-05
"mt-Co3",2.94043453204675e-09,-12.0661329638166,0,1,6.11286934867198e-05
"mt-Nd4",2.94043453204675e-09,-10.415313239661,0,1,6.11286934867198e-05
"mt-Nd5",2.94043453204675e-09,-8.03439185834041,0,1,6.11286934867198e-05
"mt-Cytb",2.94043453204675e-09,-11.2277246310097,0,1,6.11286934867198e-05
"Iqgap1",1.86890964403014e-07,-5.44311717589686,0.029,1,0.00388527625897426
"Emd",1.86890964403014e-07,-5.0697875579707,0.029,1,0.00388527625897426
"Mcl1",3.24350814120142e-07,-5.28383290242994,0.029,1,0.00674292907474362
"Arl8b",3.24350814120142e-07,-5.05335582793609,0.029,1,0.00674292907474362
"Ascc3",9.47182214547738e-07,-3.19157241302028,0.029,1,0.0196909710582329
"Nemp2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Usp37",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Chpf",1.97814859719553e-06,-6.26838180182215,0,0.667,0.0411237311870978
"Itpkb",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Traf1",1.97814859719553e-06,-7.18155681893672,0,0.667,0.0411237311870978
"Selenoh",1.97814859719553e-06,-6.50540281978042,0,0.667,0.0411237311870978
"Celf1",1.97814859719553e-06,-6.26838180182215,0,0.667,0.0411237311870978
"Dnajc24",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Trp53rkb",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Ctso",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Naxe",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Cdc14a",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Snhg8",1.97814859719553e-06,-6.5998638863202,0,0.667,0.0411237311870978
"Selenof",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Gm11808",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Tut4",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Micos10",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Ddi2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Eno1",1.97814859719553e-06,-6.49360620469176,0,0.667,0.0411237311870978
"Cptp",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Babam2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Gpr146",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Znrf2",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Mogs",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Itpr2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Selenow",1.97814859719553e-06,-7.6890854208207,0,0.667,0.0411237311870978
"Nop53",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Rbm42",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Nsmce3",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Selenos",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Crebzf",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Fus",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Hras",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Arhgef18",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Bag4",1.97814859719553e-06,-6.5998638863202,0,0.667,0.0411237311870978
"Rex1bd",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Trir",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Birc2",1.97814859719553e-06,-6.43130742218713,0,0.667,0.0411237311870978
"Rora",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Xrn1",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Fuca2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Gm33104",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Mcu",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Anapc16",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"2610008E11Rik",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Arhgap45",1.97814859719553e-06,-7.31234076911207,0,0.667,0.0411237311870978
"Cactin",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Ddit3",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Tespa1",1.97814859719553e-06,-7.12689610984242,0,0.667,0.0411237311870978
"Ppp4r3b",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Adam19",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Tnfrsf13b",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Ttc19",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Prpf8",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Utp18",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Cwc25",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Ndufaf8",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Cenpx",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Hbp1",1.97814859719553e-06,-6.5998638863202,0,0.667,0.0411237311870978
"Sipa1l1",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Ccdc88c",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Ndufb1-ps",1.97814859719553e-06,-7.10380273277428,0,0.667,0.0411237311870978
"Ighm",1.97814859719553e-06,-6.7816344507503,0,0.667,0.0411237311870978
"Gm11361",1.97814859719553e-06,-6.43130742218713,0,0.667,0.0411237311870978
"Ptch1",1.97814859719553e-06,-6.5998638863202,0,0.667,0.0411237311870978
"Lpcat1",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Tpm3-rs7",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Cfap298",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Rnf8",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Cmtr1",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Csnk2b",1.97814859719553e-06,-6.26838180182215,0,0.667,0.0411237311870978
"Gm26917",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Gm42418",1.97814859719553e-06,-6.64479638149068,0,0.667,0.0411237311870978
"Dhx57",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Colec12",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Cep192",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Plaat3",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Ttc9c",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"BE692007",1.97814859719553e-06,-6.58881778608197,0,0.667,0.0411237311870978
"Gm17018",1.97814859719553e-06,-6.19528620195116,0,0.667,0.0411237311870978
"Pprc1",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Atp5md",1.97814859719553e-06,-5.96765962353255,0,0.667,0.0411237311870978
"Rab11fip2",1.97814859719553e-06,-5.60931847159083,0,0.667,0.0411237311870978
"Slc35a2",1.97814859719553e-06,-5.984614918826,0,0.667,0.0411237311870978
"Ogt",1.97814859719553e-06,-6.66597316909313,0,0.667,0.0411237311870978
"mt-Atp8",1.97814859719553e-06,-6.91547949652375,0,0.667,0.0411237311870978
"mt-Nd3",1.97814859719553e-06,-7.15822639756106,0,0.667,0.0411237311870978
"Hnrnpa0",8.71385489021517e-06,-3.56263494133016,0.059,1,0.181152329312683
"Azi2",1.34144860018377e-05,-2.18433507901313,0.059,1,0.278873749492205
"St8sia4",3.09995423608209e-05,-2.54106578649439,0.059,1,0.644449486139105
"Swt1",3.09995423608209e-05,-3.45953100649349,0.059,1,0.644449486139105
"Atf4",8.01287060975324e-05,-2.24081399739256,0.088,1,1
"BC004004",8.01287060975324e-05,-3.51849913838973,0.088,1,1
"Srsf9",0.000105212891539501,-4.6088132630869,0.029,0.667,1
"Rnf181",0.000105212891539501,-5.19478099344722,0.029,0.667,1
"Ppp1r12c",0.000105212891539501,-4.98410971032206,0.029,0.667,1
"Taf10",0.000105212891539501,-4.98410971032206,0.029,0.667,1
"Dnmt1",0.000105212891539501,-4.57739306706785,0.029,0.667,1
"Commd4",0.000105212891539501,-4.98410971032206,0.029,0.667,1
"Arih1",0.000105212891539501,-4.98410971032206,0.029,0.667,1
"Nudcd3",0.000105212891539501,-4.80501964548646,0.029,0.667,1
"Ift20",0.000105212891539501,-4.96715441502862,0.029,0.667,1
"Rdm1",0.000105212891539501,-4.96715441502862,0.029,0.667,1
"Zfp644",0.000114630868335305,-3.15732461753193,0.088,1,1
"Cisd1",0.000114630868335305,-1.38046456908808,0.088,1,1
"0610012G03Rik",0.000114630868335305,-2.40838952527949,0.088,1,1
"Wnk1",0.000153434739494756,-3.41651519855521,0.118,1,1
"Ncoa2",0.000169423593554204,-4.21905191512613,0.029,0.667,1
