"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co1",0,-18.2875373575586,0,1,0
"mt-Atp6",0,-19.1182845636089,0,1,0
"mt-Nd4",0,-17.4762593923743,0,1,0
"mt-Cytb",0,-18.1627706888977,0,1,0
"mt-Nd1",0,-17.3652225849017,0,0.998,0
"mt-Co2",0,-18.602118414536,0,0.998,0
"mt-Co3",0,-19.1260787619773,0,0.998,0
"mt-Nd2",0,-17.7164403237229,0,0.995,0
"Gm42418",0,-15.6287275957212,0,0.977,0
"Ubb",0,-13.1735418761424,0,0.949,0
"Gapdh",0,-15.4037748255659,0,0.935,0
"mt-Nd3",0,-14.8667019792217,0,0.916,0
"mt-Nd5",0,-14.499712948727,0,0.89,0
"Gm3764",0,-14.7888660604287,0,0.878,0
"Selenop",0,-14.630909610681,0,0.874,0
"mt-Nd4l",0,-14.3252694361291,0,0.867,0
"Selenow",0,-14.4150850219599,0,0.857,0
"Selenok",0,-14.3507234284885,0,0.855,0
"Rpl26",0,-14.0878136302617,0,0.802,0
"Eno1",0,-14.1778385321276,0,0.801,0
"Selenos",0,-13.9538549630832,0,0.795,0
"Zbtb20",0,-3.26810509382576,0.128,0.914,0
"Selenof",0,-13.8632918725812,0,0.755,0
"Lsamp",0,-2.57191058790286,0.148,0.9,0
"H3f3b",0,-14.0428685578727,0,0.745,0
"Elob",0,-13.6892227324411,0,0.733,0
"Mir99ahg",0,-3.34824918618016,0.063,0.75,0
"Prxl2a",0,-13.5366229650489,0,0.68,0
"Cwc22",0,-5.68704539602074,0.011,0.684,0
"Rpl14",0,-13.5213235925082,0,0.659,0
"Gm6145",0,-13.4489173862115,0,0.65,0
"Atp5md",0,-13.4425131838844,0,0.647,0
"AW047730",0,-13.5490894826361,0,0.64,0
"Ndfip1",0,-3.11266285812928,0.046,0.663,0
"Atp5mpl",0,-13.1649710303358,0,0.605,0
"Gm26917",0,-13.7394303008418,0,0.603,0
"Morf4l1",0,-7.13567277745867,0.003,0.584,0
"Micos10",0,-12.9914591365184,0,0.552,0
"Cops9",0,-12.9016978636843,0,0.54,0
"mt-Atp8",0,-12.8844013545047,0,0.537,0
"Bst2",0,-5.65606774232024,0.019,0.554,0
"Ndufb1-ps",0,-12.8703340361905,0,0.531,0
"Ifit3",0,-4.85604879953755,0.019,0.547,0
"Rab5if",0,-12.7650349670798,0,0.523,0
"Fmc1",0,-12.8322188157922,0,0.519,0
"Pura",0,-4.29859807286359,0.018,0.516,0
"Micos13",0,-12.643958647781,0,0.486,0
"Tle5",0,-12.7137074327572,0,0.484,0
"Ifit3b",0,-5.37129970979084,0.009,0.493,0
"Mir100hg",0,-12.6438360020079,0,0.481,0
"Cavin3",0,-12.5616189004376,0,0.467,0
"Sem1",0,-12.6250898912638,0,0.463,0
"Erg28",0,-12.4415381228883,0,0.46,0
"Grk3",0,-12.6946754692933,0,0.449,0
"4632427E13Rik",0,-6.34128782463879,0.003,0.439,0
"Gm47283",0,-12.4815355074435,0,0.434,0
"Gm10076",0,-12.4475332219411,0,0.427,0
"Myorg",0,-12.337393200712,0,0.413,0
"Eloc",0,-12.210818540769,0,0.404,0
"Ndufs5",6.69748789043988e-308,-2.67435240918237,0.07,0.715,1.39234075754355e-303
"Selenom",4.83554533383428e-306,-12.3346966401307,0,0.393,1.00526151945081e-301
"Auts2",1.07325846206041e-300,-4.45321771438216,0.013,0.472,2.23119701677739e-296
"Gm14964",2.48879834280873e-300,-12.4229870243423,0,0.386,5.17396287486507e-296
"Isg15",1.06810140170889e-299,-6.73048242885505,0.007,0.428,2.22047600401262e-295
"Snu13",4.69972900194829e-296,-12.1176640703827,0,0.381,9.77026662215031e-292
"Cystm1",5.06792724096961e-296,-3.83509559594375,0.015,0.479,1.05357139412517e-291
"Naxd",2.89389397361166e-283,-11.9541433344097,0,0.365,6.01611618174128e-279
"Mtss2",2.89389519939692e-283,-12.0774979414315,0,0.365,6.01611873002626e-279
"Gpam",4.69113866382713e-278,-4.16533328600205,0.01,0.428,9.75240816823022e-274
"Tra2a",5.30620650825793e-278,-2.88858767480941,0.046,0.596,1.10310727100174e-273
"Itgb8",1.05901280533597e-274,-5.2540376700324,0.004,0.385,2.20158172101294e-270
"Rex1bd",2.33706067061017e-273,-11.8957515886688,0,0.353,4.85851542813147e-269
"Gsdme",6.04121519936239e-272,-12.1960445621058,0,0.351,1.25590822779545e-267
