"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Nd1",0,-16.3693637560421,0,1,0
"mt-Nd2",0,-16.4553642960245,0,1,0
"mt-Co1",0,-17.3127010954829,0,1,0
"mt-Co2",0,-17.4912971356735,0,1,0
"mt-Atp6",0,-17.8373757069033,0,1,0
"mt-Co3",0,-17.6485290648199,0,1,0
"mt-Nd4",0,-16.0776894248641,0,1,0
"mt-Cytb",0,-16.7494870695763,0,1,0
"Ubb",0,-10.8931396675422,0.003,0.997,0
"H3f3b",0,-15.7292485907172,0,0.994,0
"Gm42418",0,-14.8586188690464,0,0.987,0
"Rpl26",0,-14.733520326438,0,0.986,0
"Selenow",0,-14.4703463315883,0,0.979,0
"Rpl14",0,-14.1386646856596,0,0.967,0
"mt-Nd3",0,-13.7516840051175,0,0.94,0
"mt-Nd5",0,-13.5382420133745,0,0.929,0
"Selenok",0,-13.3531854511329,0,0.913,0
"Elob",0,-13.3723388690022,0,0.913,0
"Selenop",0,-14.1192081487921,0,0.91,0
"Sem1",0,-13.2579684338405,0,0.899,0
"Gm10076",0,-13.3095131663522,0,0.881,0
"Selenof",0,-13.0703526735701,0,0.87,0
"Morf4l1",0,-7.09377022607737,0.009,0.869,0
"mt-Nd4l",0,-12.9904625389155,0,0.851,0
"Jcad",0,-13.3532908656308,0,0.847,0
"Tle5",0,-12.8331292235274,0,0.831,0
"Gm10260",0,-12.7142134949067,0,0.816,0
"Ppp1r2",0,-12.9886023060795,0,0.799,0
"Gapdh",0,-12.764364737295,0,0.78,0
"Snu13",0,-12.2656606029507,0,0.733,0
"Ndufb1-ps",0,-12.3115025165148,0,0.725,0
"Trir",0,-12.0779785766083,0,0.706,0
"Pakap.1",0,-12.2838824123047,0,0.698,0
"Atp5md",0,-12.1347304388353,0,0.687,0
"Micos10",0,-12.0711554047537,0,0.68,0
"Selenom",0,-12.2135991988579,0,0.679,0
"Apcdd1",0,-6.35565665341382,0.011,0.688,0
"Srarp",0,-12.4615490538494,0,0.672,0
"Rtraf",0,-11.8761394668862,0,0.658,0
"Uba52",0,-11.957592386221,0,0.652,0
"Tceal9",0,-12.3232297262447,0,0.644,0
"Afdn",8.28741973269087e-301,-11.9594404427303,0,0.63,1.7228716882291e-296
"mt-Atp8",2.63290341617749e-297,-11.8211929588915,0,0.623,5.47354291189137e-293
"Cops9",6.05592137811135e-293,-11.8042804873869,0,0.616,1.25896549529557e-288
"Mindy1",4.49192830861565e-292,-11.8658084147068,0,0.614,9.33826976078107e-288
"Eloc",3.32648528151498e-291,-11.708305206996,0,0.612,6.9154302517415e-287
"Atp5mpl",3.88483088086574e-285,-11.7260935528249,0,0.601,8.07617491823179e-281
"H3f3a,H3f3b",9.85810806793947e-283,14.0278430773531,0.943,0,2.04940208624394e-278
"Tpt1",3.56552378917651e-282,-2.19566318549425,0.807,0.995,7.41236740531905e-278
"H2-T22",1.57827944344206e-276,-12.2913006902445,0,0.585,3.28108513497171e-272
"Rtl8a",8.15972152147819e-275,-11.948618140767,0,0.582,1.6963245071001e-270
"Uba52,Ubc",2.10511921323996e-272,13.650345368557,0.924,0,4.37633233240456e-268
"Rflnb",1.52545856557585e-270,-12.1944666409713,0,0.574,3.17127581197563e-266
"Rps12",5.34188079019082e-269,-2.52905450621561,0.534,0.986,1.11052359747277e-264
"Cavin3",7.71434709132307e-269,-11.8686858997367,0,0.571,1.60373561681515e-264
"Rps21",9.29980043103657e-269,-2.31096340421569,0.609,0.997,1.93333551160819e-264
"Rps10",5.68879117461463e-265,-2.27516411184912,0.531,0.995,1.18264279729063e-260
"Eno1",4.73842024305609e-262,-11.6646608553086,0,0.559,9.85070184328931e-258
"Ndufs5",6.16734503914467e-262,-3.15244741075529,0.091,0.796,1.28212936018779e-257
"Micos13",2.82446816695158e-250,-11.3407535712859,0,0.536,5.87178687227564e-246
"Rplp1",2.85497883379201e-248,-1.78680106223368,0.758,1,5.93521549757021e-244
"Cavin2",4.21185419732738e-246,-11.8956668378467,0,0.528,8.75602369082389e-242
"Oip5os1",2.86533368921718e-245,-11.4361506214932,0,0.527,5.95674220651359e-241
"Sepp1",7.26321562586211e-241,13.634288733597,0.861,0,1.50994989646047e-236
"Rpl12",4.70793532924049e-240,-2.37205368656582,0.369,0.97,9.78732675595806e-236
"Hba-a2",9.16862487957941e-240,9.31436874559333,0.889,0.038,1.90606542621576e-235
"Rpl14,Rpl14-ps1",1.84002127496773e-236,12.9448997477654,0.852,0,3.82522022853042e-232
"Rps20",2.45806362141982e-236,-1.9595321297435,0.65,0.992,5.11006846256966e-232
"Clec2d",5.84583467651869e-236,-2.80246346504699,0.214,0.891,1.21529057090147e-231
"Xdh",4.50442945284645e-235,-4.27702166267149,0.029,0.604,9.36425838952249e-231
"Csnk2b",7.60427644037112e-235,-7.10710353026286,0.004,0.522,1.58085302918875e-230
"Rex1bd",1.66637947885156e-234,-11.3139857148114,0,0.506,3.46423629858451e-230
"Selk",2.19036505760328e-233,12.6662435338711,0.846,0,4.55354991825146e-229
"Heg1",3.84922830944113e-233,-5.86736073073953,0.009,0.536,8.00216073249717e-229
"Gm15772,Rpl26",3.94098956080272e-233,12.872215740824,0.845,0,8.19292319795277e-229
"Plaat3",3.24680939336111e-231,-11.4575377396464,0,0.5,6.7497920478584e-227
"Flt1",1.30110640614036e-230,-2.35153398759841,0.582,0.97,2.7048701077252e-226
"Zfp91",9.37145328423061e-229,-11.3231728539472,0,0.495,1.9482314232587e-224
"Rnf213",9.37145904401684e-229,-11.791823393649,0,0.495,1.94823262066066e-224
"Cavin1",9.37146480381306e-229,-11.2624003734008,0,0.495,1.9482338180647e-224
"Gm32688",9.37147056360852e-229,-11.4074621051709,0,0.495,1.94823501546857e-224
"Rab5if",4.06217484090817e-227,-11.2199501424596,0,0.492,8.444855276764e-223
"Mcrip1",1.14622957336457e-224,-11.2263160018354,0,0.487,2.38289666006761e-220
"Tut7",7.49551607904871e-224,-11.2489337962145,0,0.486,1.55824283767344e-219
"Abhd2",2.56555539909382e-223,-4.03937318069084,0.037,0.606,5.33353311917615e-219
"Snhg8",2.72022254022451e-223,-6.8809236891195,0.003,0.495,5.65507063887273e-219
"Zbp1",1.88543473579115e-222,-6.77463160798853,0.008,0.509,3.91963027223623e-218
"Arl1",1.60765091410807e-220,-3.92287296249314,0.025,0.571,3.34214548533927e-216
"Rpl30",6.59984511100238e-218,-1.86826970919261,0.581,0.984,1.37204180012629e-213
"Nbdy",1.53193872753013e-216,-11.0813653224194,0,0.472,3.18474742066239e-212
"Sepw1",9.11021053300342e-215,12.5070652220285,0.805,0,1.89392166770608e-210
"Rps24",1.2726133195885e-213,-1.55989883219789,0.756,0.998,2.64563583009253e-209
"9930111J21Rik2",1.27373493951659e-213,-6.81135318487886,0.004,0.483,2.64796756576104e-209
"Nop53",1.07070577284206e-211,-10.9885797488186,0,0.462,2.22589023116137e-207
