"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Nd2",4.20911450548497e-163,-14.9474457155199,0,1,8.75032814545269e-159
"mt-Co1",4.20911450548497e-163,-15.7879072992732,0,1,8.75032814545269e-159
"mt-Co2",4.20911450548497e-163,-15.9271985272561,0,1,8.75032814545269e-159
"mt-Atp6",4.20911450548497e-163,-16.4752905000582,0,1,8.75032814545269e-159
"mt-Co3",4.20911450548497e-163,-16.4101679482898,0,1,8.75032814545269e-159
"mt-Cytb",4.20911450548497e-163,-15.6863001040683,0,1,8.75032814545269e-159
"mt-Nd1",1.63394722238199e-161,-14.5940197470654,0,0.992,3.39681288060991e-157
"mt-Nd4",1.63394722238199e-161,-14.8626353159258,0,0.992,3.39681288060991e-157
"Ubb",8.63456377385025e-159,-12.8066561433006,0.002,0.983,1.79503946294573e-154
"Rpl26",3.36832360280644e-155,-13.114508438519,0,0.958,7.00240793787431e-151
"Gm42418",4.56525579895853e-152,-13.4408802925598,0,0.941,9.49071028045488e-148
"Rpl14",5.95573281602903e-149,-12.4584523192198,0,0.924,1.23813729512427e-144
"Gm10076",9.04711713025892e-143,-12.4283541913001,0,0.89,1.88080518020953e-138
"Selenow",3.10227097777364e-141,-12.3233147687355,0,0.881,6.44931113569362e-137
"Elob",3.10231027259232e-141,-12.5770836938453,0,0.881,6.44939282569217e-137
"Gapdh",1.05388981015028e-139,-12.4793854334465,0,0.873,2.19093152632142e-135
"mt-Nd3",1.05388981015028e-139,-12.1176652793488,0,0.873,2.19093152632142e-135
"H3f3b",3.54687483363941e-138,-12.5557165953396,0,0.864,7.37359809165297e-134
"mt-Nd5",3.54691951139922e-138,-12.2846006122253,0,0.864,7.37369097224783e-134
"Sem1",1.18267331012234e-136,-12.0234264489691,0,0.856,2.45865954441333e-132
"Selenok",1.33264695052206e-130,-11.8665518089296,0,0.822,2.77043974544031e-126
"Atp5md",1.33867127226816e-127,-12.5258269472459,0,0.805,2.78296370791828e-123
"Selenof",4.18504990694573e-126,-11.7421921026482,0,0.797,8.70030025154948e-122
"Ndufb1-ps",1.2108846221252e-121,-11.5538107781091,0,0.771,2.51730804093608e-117
