"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hbb-bt",5.51753577279286e-19,-16.3542929508016,0,1,1.14704051180591e-14
"Hba-a1",5.51753577279286e-19,-17.2680752504508,0,1,1.14704051180591e-14
"Gm42418",5.51753577279286e-19,-8.4098196256039,0,1,1.14704051180591e-14
"mt-Nd1",5.51753577279286e-19,-9.94674111095003,0,1,1.14704051180591e-14
"mt-Nd2",5.51753577279286e-19,-10.1039152537879,0,1,1.14704051180591e-14
"mt-Co1",5.51753577279286e-19,-10.9951443051475,0,1,1.14704051180591e-14
"mt-Co2",5.51753577279286e-19,-10.9728263612561,0,1,1.14704051180591e-14
"mt-Atp6",5.51753577279286e-19,-11.5935304733493,0,1,1.14704051180591e-14
"mt-Co3",5.51753577279286e-19,-11.5722706103256,0,1,1.14704051180591e-14
"mt-Nd4",5.51753577279286e-19,-9.86461193759099,0,1,1.14704051180591e-14
"mt-Cytb",5.51753577279286e-19,-10.2573677317532,0,1,1.14704051180591e-14
"Ubb",8.40938785746039e-18,-10.5904970180527,0,0.944,1.74822764168744e-13
"mt-Nd3",1.20335611036119e-16,-7.54131556518785,0,0.889,2.50165701782988e-12
"Gm10076",1.61952738575089e-15,-7.6036188467544,0,0.833,3.36683548223752e-11
"mt-Nd5",1.61952738575089e-15,-7.36916526531729,0,0.833,3.36683548223752e-11
"Elob",2.05354511332473e-14,-7.17786565530273,0,0.778,4.26911493609078e-10
"Ybx3",2.81789817188682e-13,-5.43813228968305,0.016,0.778,5.8581285095355e-09
"Slc25a39",9.81583404481136e-11,-4.15840802497259,0.125,0.833,2.04061373957583e-06
"Hbb-bs",1.13914359744151e-10,-0.597169052788363,0.969,1,2.36816562472115e-06
"Rpl26",3.03267360539286e-10,-6.8812922363955,0,0.556,6.30462515825121e-06
"mt-Nd4l",3.03267360539286e-10,-6.91102629796177,0,0.556,6.30462515825121e-06
"Cdr2",1.62573062737997e-09,-3.2826216217439,0.125,0.833,3.37973140126022e-05
"Hbb-b2",1.85948947720402e-09,13.3911908437838,0.922,0,3.86569267415944e-05
"Plp1",2.07095611294231e-09,3.66768188607295,0.953,0.222,4.30531066319576e-05
"Tpt1",2.69347506458913e-09,-2.85665144867105,0.578,1,5.59946531177434e-05
"Selenok",2.93466387940946e-09,-6.05237284616726,0,0.5,6.10087273890432e-05
"Plaat3",2.93466387940946e-09,-6.45667414349535,0,0.5,6.10087273890432e-05
"Tent5c",2.70739522108539e-08,-6.14581826101162,0,0.444,0.000562840392511442
"Gapdh",2.70739522108539e-08,-5.58857032130773,0,0.444,0.000562840392511442
"Selenow",2.70739522108539e-08,-6.55992670950553,0,0.444,0.000562840392511442
"Atp5mpl",2.70739522108539e-08,-5.96996857954158,0,0.444,0.000562840392511442
"Uba52,Ubc",2.84966918748457e-08,7.24484585099205,0.844,0,0.000592417727386168
"Malat1",6.70198509358517e-08,3.16944136778787,0.969,0.556,0.00139327568110542
"Ucp2",6.8159098359614e-08,-2.5565103547544,0.188,0.833,0.00141695949579802
"March2",9.60260148798793e-08,-1.66739269123743,0.594,1,0.00199628482333781
"Ube2l6",1.11772785663772e-07,2.67779232932699,0.906,0.556,0.00232364444116415
"Hba-a2",1.20104541462131e-07,7.06726312461882,0.969,1,0.00249685331245625
"Fth1",1.35669885780888e-07,-1.94060101019271,0.953,1,0.00282044125549888
"Ube2b",2.09566690591725e-07,3.41900089934642,0.844,0.222,0.00435668193071137
"Uba52",2.38768616184039e-07,-5.80678965074823,0,0.389,0.00496376076185
"Ndufb1-ps",2.38768616184039e-07,-5.70569420504753,0,0.389,0.00496376076185
"Rps12",2.74074608231892e-07,-1.95147855668147,0.141,0.778,0.0056977370305328
"Car2",2.91417711218774e-07,4.03783588343591,0.875,0.333,0.0060582827985271
"Oaz1",6.00856238975337e-07,-1.09798185015169,0.953,1,0.0124912003520583
"Rplp1",6.52485391717954e-07,-1.76912527670083,0.297,0.944,0.0135645188084245
"Fam213a",8.28471962189476e-07,6.25438915832189,0.734,0,0.017223103621957
"Gdpd3",2.0195953158783e-06,-5.82022230513563,0,0.333,0.041985367021794
"Rpl14",2.0195953158783e-06,-5.44044304532254,0,0.333,0.041985367021794
"Prxl2a",2.0195953158783e-06,-6.38771546074228,0,0.333,0.041985367021794
"mt-Atp8",2.0195953158783e-06,-5.68650121241672,0,0.333,0.041985367021794
"Bola3",2.2169972123871e-06,-1.9947178707946,0.25,0.889,0.0460891550483155
"Ftl1",4.7314607288104e-06,-0.703263390149072,1,1,0.0983623370912394
"Rnf11",7.31376562675396e-06,-2.76839387207298,0.062,0.5,0.152045873614588
"Ptp4a3",1.00756243676436e-05,-2.93290257199755,0.141,0.611,0.209462154978942
"Rpl12",1.61853037713253e-05,-1.17869929142486,0.078,0.556,0.336476280102081
"Oip5os1",1.645459108788e-05,-5.79057147882922,0,0.278,0.342074494125938
"Atp5md",1.645459108788e-05,-5.54584047355049,0,0.278,0.342074494125938
"Cd81",3.10919824493416e-05,3.37595508080131,0.703,0.222,0.646371223139363
"Mkrn1",3.30424154983589e-05,-0.990440325978598,0.906,1,0.686918775795382
"Rps21",4.72429538118473e-05,-1.3933861622719,0.25,0.778,0.982133766794494
"Mbp",4.83056665222375e-05,-2.35975134451438,0.406,0.778,1
"Gabarapl2",7.59537327854644e-05,-0.985043940418616,0.797,1,1
"Rpl28",7.92416343653687e-05,-0.869747674968351,0.297,0.833,1
"Gypa",8.85747554719865e-05,2.18224862853252,0.812,0.333,1
"Rnf10",0.000113857501269291,-1.63953003655126,0.375,0.889,1
"Slc48a1",0.000120043830908799,-1.61739986444339,0.297,0.778,1
"H3f3a,H3f3b",0.000129369784877148,7.49623759784372,0.531,0,1
"Pepd",0.000129942117270247,-4.78144847971106,0,0.222,1
"Snca",0.000212051869025172,1.01863283876206,0.906,0.889,1
"H2afj",0.000229715296789139,-1.36710299509415,0.172,0.667,1
"Sh3glb1",0.000292292997539613,-1.32268594342022,0.594,0.944,1
"Rpl30",0.000294990211049335,-0.806183514598899,0.172,0.611,1
"Rps24",0.000296499532364885,-0.792097130209373,0.359,0.833,1
"Rps29",0.000356825464652159,-0.272702770827179,0.75,1,1
"Yipf4",0.000366885867390872,2.78444559608216,0.594,0.167,1
"Serinc3",0.000383285138906672,3.13770797369951,0.562,0.111,1
"Gclm",0.000484462143777387,1.79437594955385,0.734,0.333,1
"Rps10",0.000536856704926915,-0.665290658412152,0.172,0.611,1
"Slc25a37",0.000555686658896702,-1.63647523648506,0.266,0.722,1
"Rps20",0.000582930403397617,-0.476713494683525,0.156,0.611,1
"Rps27a",0.000625158152276543,0.742212810204821,0.297,0.833,1
"P2ry12",0.000636561750719954,4.51696470499716,0.453,0,1
"Prdx2",0.000725274222565262,-0.935656804692459,0.875,0.944,1
"Creg1",0.000730203559284276,2.52954646853879,0.594,0.222,1
"Tceb2",0.000858279209796333,5.19226329726016,0.438,0,1
"Rps28",0.000932481232741273,0.804893212417221,0.266,0.778,1
"Rpl5",0.000955217539895222,-0.70093368060659,0.109,0.5,1
"Bcas1",0.00100483924461544,-4.54245158614363,0,0.167,1
"Micos10",0.00100483924461544,-4.50598010541849,0,0.167,1
"Fcor",0.00100483924461544,-4.23973722781104,0,0.167,1
"Ctxn1",0.00100483924461544,-4.64654736351201,0,0.167,1
"Trir",0.00100483924461544,-4.61139378268118,0,0.167,1
"Jpt1",0.00100483924461544,-5.27580047112884,0,0.167,1
"H3f3b",0.00100483924461544,-4.3521223250611,0,0.167,1
"Ifi27l2a",0.00100483924461544,-4.998476078948,0,0.167,1
"H2-T22",0.00100483924461544,-5.67859570048732,0,0.167,1
"Arf5",0.00110041202504756,-0.732754100604886,0.703,1,1
"Selk",0.00153184035322822,4.88713813537736,0.406,0,1
"Otud5",0.00165077123051484,-3.10328979910015,0.016,0.222,1
"Rps8",0.00176089398322368,0.659037205400437,0.234,0.722,1
"1810058I24Rik",0.00183564793481806,-1.22143000578549,0.578,0.778,1
"Rps16",0.00201375005092553,0.665189881449617,0.297,0.778,1
"Calm2",0.00202845923252668,6.56415327999752,0.391,0,1
"Rad23a",0.00238411529245201,2.83925760888067,0.484,0.111,1
"Cat",0.00267093828763172,4.68201009526785,0.375,0,1
"Sepp1",0.00267093828763172,4.73748137963424,0.375,0,1
"Fam220a",0.00341454656850308,1.41854977155424,0.703,0.444,1
"Rn45s",0.00349772331947073,4.24382141934738,0.359,0,1
"Rpl19",0.00407030759398727,0.374110096170213,0.281,0.778,1
"Rpl37",0.00416160904826401,0.586363356328433,0.391,0.833,1
"Hnrnpk",0.00455628931758834,5.730324293107,0.344,0,1
"Rpl32",0.00459055494197917,1.14365583327709,0.281,0.778,1
"Napa",0.00572079944852194,-1.51491178256473,0.047,0.278,1
"Gm15772,Rpl26",0.0059050410238928,5.68889819481966,0.328,0,1
"Eif5",0.0059482012578505,2.16556847725456,0.609,0.278,1
"Rpl23",0.00665921458272948,0.263563178080574,0.297,0.722,1
"Guk1",0.00710085850787263,-2.5592652285032,0.031,0.222,1
"Paqr9",0.00745007923290425,-1.95047672533318,0.078,0.333,1
"Isca1",0.00748444706360371,1.07934817266331,0.766,0.722,1
"Hmgn2",0.0076155914719815,7.3458019985445,0.312,0,1
"Serinc1",0.0076155914719815,3.89981968064822,0.312,0,1
"Ywhaq",0.0076155914719815,4.92836847404828,0.312,0,1
"Tuba1a",0.0076155914719815,6.65574709439326,0.312,0,1
"Tubb5",0.0076155914719815,6.68872366342035,0.312,0,1
"Stat1",0.00776512196507097,-3.87944599127315,0,0.111,1
"Cops9",0.00776512196507097,-4.15726266046403,0,0.111,1
"Spta1",0.00776512196507097,-3.93464329203136,0,0.111,1
"Eprs",0.00776512196507097,-3.98628800991114,0,0.111,1
"Upf2",0.00776512196507097,-3.87509292086852,0,0.111,1
"Epc2",0.00776512196507097,-4.09911775523798,0,0.111,1
"Eif3j1",0.00776512196507097,-4.06592958079282,0,0.111,1
"Cenpb",0.00776512196507097,-3.95196662613874,0,0.111,1
"Akna",0.00776512196507097,-3.87944599127315,0,0.111,1
"Tusc1",0.00776512196507097,-3.91739862962254,0,0.111,1
"Gm33370",0.00776512196507097,-3.87472663697832,0,0.111,1
"Sem1",0.00776512196507097,-3.82029848051473,0,0.111,1
"Mturn",0.00776512196507097,-4.03596140421101,0,0.111,1
"Ramac",0.00776512196507097,-3.94817376058232,0,0.111,1
"Taf10",0.00776512196507097,-4.15014681363317,0,0.111,1
"Rex1bd",0.00776512196507097,-4.13145927294399,0,0.111,1
"Mast3",0.00776512196507097,-3.74241236532259,0,0.111,1
"Ddx6",0.00776512196507097,-3.98115422726182,0,0.111,1
"Morf4l1",0.00776512196507097,-3.85901631328475,0,0.111,1
"Plxnb1",0.00776512196507097,-4.19468380643312,0,0.111,1
"Hddc2",0.00776512196507097,-4.08637671731534,0,0.111,1
"Tle5",0.00776512196507097,-4.43667126599393,0,0.111,1
"Irgm2",0.00776512196507097,-3.9635288556631,0,0.111,1
"Synrg",0.00776512196507097,-4.31722355219267,0,0.111,1
"Cenpx",0.00776512196507097,-4.03424032001098,0,0.111,1
"Cdkl1",0.00776512196507097,-4.07975285979386,0,0.111,1
"Acot1",0.00776512196507097,-4.14556509922367,0,0.111,1
"Ighm",0.00776512196507097,-3.61116075160146,0,0.111,1
"Tut7",0.00776512196507097,-3.81455464344152,0,0.111,1
"1500009C09Rik",0.00776512196507097,-4.15014681363317,0,0.111,1
"Parvb",0.00776512196507097,-4.13155735359176,0,0.111,1
"Zbed4",0.00776512196507097,-3.9978623146238,0,0.111,1
"Tmem191c",0.00776512196507097,-4.10729150848462,0,0.111,1
