"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",3.52797369434686e-54,-11.7049726653644,0,1,7.33430451317769e-50
"mt-Nd1",3.52797369434686e-54,-13.0731012260796,0,1,7.33430451317769e-50
"mt-Nd2",3.52797369434686e-54,-13.1610092193941,0,1,7.33430451317769e-50
"mt-Co1",3.52797369434686e-54,-14.0510023846995,0,1,7.33430451317769e-50
"mt-Co2",3.52797369434686e-54,-14.4121481961509,0,1,7.33430451317769e-50
"mt-Atp6",3.52797369434686e-54,-14.8888566753652,0,1,7.33430451317769e-50
"mt-Co3",3.52797369434686e-54,-14.8210283492517,0,1,7.33430451317769e-50
"mt-Nd4",3.52797369434686e-54,-13.0023719001433,0,1,7.33430451317769e-50
"mt-Cytb",3.52797369434686e-54,-13.8998418267404,0,1,7.33430451317769e-50
"Ubb",1.96422168535013e-53,-10.2583111682638,0.005,1,4.08342046167438e-49
"H3f3b",5.74156243186859e-53,-12.1800763543485,0,0.981,1.19361341396116e-48
"Rpl14",1.42270480548329e-50,-10.8728672223072,0,0.943,2.9576610201192e-46
"Selenow",2.16678520727451e-49,-10.7920169373024,0,0.925,4.50452976740298e-45
"Selenof",2.16698202769383e-49,-10.1972925409986,0,0.925,4.50493893737271e-45
"Elob",3.22974110451731e-48,-10.2715219378963,0,0.906,6.71430878218103e-44
"mt-Nd3",3.22974110451731e-48,-10.5819585620577,0,0.906,6.71430878218103e-44
"mt-Nd5",3.22974110451731e-48,-10.2827976236413,0,0.906,6.71430878218103e-44
"Rpl26",4.71119877136668e-47,-11.4256938780656,0,0.887,9.7941111257942e-43
"Selenok",4.71119877136668e-47,-10.2031827825566,0,0.887,9.7941111257942e-43
"Selenom",9.40435467695168e-45,-10.3088481642466,0,0.849,1.95507129379148e-40
"Morf4l1",1.03307413115553e-42,-6.07881038376009,0.016,0.868,2.14765781125923e-38
"Gapdh",1.72614670019699e-42,-9.63905873680804,0,0.811,3.58848637503953e-38
"Gm10076",1.72614670019699e-42,-9.7884224838666,0,0.811,3.58848637503953e-38
