"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps21",3.52913949482575e-05,-7.44329436674199,0,1,0.733672809579324
"Rpl27a",3.52913949482575e-05,-7.01402821205745,0,1,0.733672809579324
"Ubb",3.52913949482575e-05,-8.80870674799863,0,1,0.733672809579324
"mt-Nd1",3.52913949482575e-05,-9.22926604261943,0,1,0.733672809579324
"mt-Nd2",3.52913949482575e-05,-9.35451821623166,0,1,0.733672809579324
"mt-Co1",3.52913949482575e-05,-10.077009519754,0,1,0.733672809579324
"mt-Co2",3.52913949482575e-05,-10.4279696180735,0,1,0.733672809579324
"mt-Atp6",3.52913949482575e-05,-10.6144608519911,0,1,0.733672809579324
"mt-Co3",3.52913949482575e-05,-10.8376390867151,0,1,0.733672809579324
"mt-Nd4",3.52913949482575e-05,-9.31225031510277,0,1,0.733672809579324
"mt-Cytb",3.52913949482575e-05,-9.81525375504031,0,1,0.733672809579324
"H3f3a,H3f3b",0.000152956681635315,8.70760715012501,1,0,1
"Sem1",0.000172024793081815,-6.69492574775324,0,0.875,1
"H3f3b",0.000172024793081815,-8.81503519896138,0,0.875,1
"Rpl30",0.000172024793081815,-6.5534292162525,0,0.875,1
"Gm42418",0.000172024793081815,-7.03548927635062,0,0.875,1
"Neat1",0.000172024793081815,-6.99471342806835,0,0.875,1
"Zfand5",0.000172024793081815,-6.51635469291288,0,0.875,1
"mt-Nd4l",0.000172024793081815,-6.28866228546433,0,0.875,1
"mt-Nd5",0.000172024793081815,-6.55932877337947,0,0.875,1
"Srgn",0.000438609577134162,-2.07125781618261,0.75,1,1
"Rpl9",0.000459255852720594,-3.02240546099452,0.167,1,1
"Hbb-bs",0.000609110519147911,5.05036718388118,0.917,0.125,1
"Fam32a",0.000733547370993402,-6.8803641395638,0,0.75,1
"Slfn1",0.000733547370993402,-6.84094523682674,0,0.75,1
"Arg2",0.000733547370993402,-7.32340163833561,0,0.75,1
"Elob",0.000733547370993402,-5.70576143458073,0,0.75,1
"Ifitm1",0.000936100668860276,-4.41836538431803,0.083,0.875,1
"Slpi",0.00102393158933024,5.74380644871059,0.917,0.375,1
"Rps24",0.00114838110286815,-4.07577052289613,0.167,0.875,1
"Pim1",0.00127308634200672,-3.53963584893411,0.083,0.875,1
"Rps9",0.00175192198576395,-1.69151498878866,0.75,1,1
"Erp29",0.00178887764678738,-4.64763031432928,0.083,0.75,1
"Rpl19",0.00178887764678738,-4.85157600980489,0.083,0.75,1
"Zfp36",0.00199290155703092,-2.34828732302953,0.167,1,1
"Pfn1",0.00202032687370228,2.7748590873698,0.917,0.875,1
"Ifitm2",0.00222067581154342,-1.79221737434263,0.667,1,1
"Snap23",0.00230509785590823,-2.66575266768834,0.083,0.875,1
"Mcl1",0.0026223530075449,-2.25114355496411,0.167,1,1
"Ptpn6",0.00271718189243051,-2.54659541332681,0.167,0.875,1
"Gm5150",0.00277868506818887,-5.31570160849402,0,0.625,1
"Atp11b",0.00277868506818887,-5.79668228250456,0,0.625,1
"Glipr2",0.00277868506818887,-6.60039168590197,0,0.625,1
"Cap1",0.00277868506818887,-5.98428411117392,0,0.625,1
"Oasl2",0.00277868506818887,-7.07339659091122,0,0.625,1
"Gapdh",0.00277868506818887,-6.72826645330296,0,0.625,1
"1600014C10Rik",0.00277868506818887,-6.7953588832552,0,0.625,1
"Ppp1r3b",0.00277868506818887,-5.51792273760958,0,0.625,1
"Uba52",0.00277868506818887,-6.01839679739187,0,0.625,1
"Trir",0.00277868506818887,-5.40818372784599,0,0.625,1
"Csrnp1",0.00277868506818887,-6.32986241090427,0,0.625,1
"Rpl26",0.00277868506818887,-6.2093315603745,0,0.625,1
"Rnf167",0.00277868506818887,-5.48671861701571,0,0.625,1
"Mirt2",0.00277868506818887,-5.8421358127163,0,0.625,1
"Cd14",0.00277868506818887,-8.552097041798,0,0.625,1
"mt-Nd3",0.00277868506818887,-6.46104972978356,0,0.625,1
"Hdc",0.0027978174746772,-2.23510051742372,0.333,1,1
"Trim30b",0.00408545644976726,-1.98156802915403,0.25,1,1
"Spi1",0.00466732215532653,-1.95892109835198,0.167,0.875,1
"Il1b",0.00470328889804922,-1.95579513527227,0.667,1,1
"Calm2",0.00513513189280533,2.81455829291829,0.833,0.375,1
"Tmem59",0.00608740386474527,6.6254276597407,0.667,0,1
"Shfm1",0.00608740386474527,6.56034464787216,0.667,0,1
"Vim",0.00773712086232356,-6.18813347840365,0.083,0.625,1
"Psma7",0.00773712086232356,-3.19789450929334,0.083,0.625,1
"Rps20",0.00773712086232356,-4.09206927912559,0.083,0.625,1
"Rassf5",0.00950109554035503,-5.24071530408916,0,0.5,1
"Atp1a2",0.00950109554035503,-5.16150979498115,0,0.5,1
"March7",0.00950109554035503,-5.02114414373862,0,0.5,1
"Rassf2",0.00950109554035503,-5.19208593353599,0,0.5,1
"Sirpb1c",0.00950109554035503,-5.36680740517237,0,0.5,1
"S100a13",0.00950109554035503,-5.02706182493604,0,0.5,1
"Elp1",0.00950109554035503,-5.08924616042944,0,0.5,1
"Camk2n1",0.00950109554035503,-5.00603120643021,0,0.5,1
"Iscu",0.00950109554035503,-5.00250974682308,0,0.5,1
"Resf1",0.00950109554035503,-5.97932569407615,0,0.5,1
"Akap13",0.00950109554035503,-5.26067476193367,0,0.5,1
"Isg20",0.00950109554035503,-7.43255756334875,0,0.5,1
"Sin3b",0.00950109554035503,-5.01667789852137,0,0.5,1
"Ifngr1",0.00950109554035503,-5.58316861602671,0,0.5,1
"Atp2b1",0.00950109554035503,-6.32845805137391,0,0.5,1
"Cd300c2",0.00950109554035503,-5.60097144222989,0,0.5,1
"Socs3",0.00950109554035503,-6.91572208654028,0,0.5,1
"Ndufb1-ps",0.00950109554035503,-5.6619838361761,0,0.5,1
"Gm34084",0.00950109554035503,-5.26171444049126,0,0.5,1
"Selenok",0.00950109554035503,-4.99410780834392,0,0.5,1
"Cyth4",0.00950109554035503,-5.75055051633491,0,0.5,1
"Igfbp6",0.00950109554035503,-5.18870330305223,0,0.5,1
"Ppp1r2",0.00950109554035503,-5.84130777975925,0,0.5,1
"Cdkn1a",0.00950109554035503,-5.84900496298563,0,0.5,1
"Cdc42ep3",0.00950109554035503,-5.18774424767852,0,0.5,1
"Ifit1",0.00950109554035503,-6.76872409111888,0,0.5,1
"Bloc1s2",0.00950109554035503,-5.38946020646633,0,0.5,1
"Atp5md",0.00950109554035503,-4.9461087136026,0,0.5,1
"Rpl36a",0.00950109554035503,-4.92270247928279,0,0.5,1
"Rps29",0.00958168210630227,-1.62146127202257,0.333,1,1
"Prr13",0.00958168210630227,2.25718763134353,0.833,0.25,1
"Rnf11",0.00987871088538392,-2.1069718017951,0.083,0.75,1
"Grcc10",0.00987871088538392,-1.84786296848671,0.083,0.75,1
"Adgre5",0.00987871088538392,-1.15539804731338,0.083,0.75,1
"Sorl1",0.00987871088538392,-2.48635061691,0.083,0.75,1
"Tspo",0.0106046072675885,-2.02536195998445,0.25,0.875,1
"Fau",0.012161286057811,-1.25367290097472,1,1,1
"Mbp",0.0127264932339823,-2.84027282182779,0.25,0.75,1
"Uba52,Ubc",0.0127916359464683,6.32696815965637,0.583,0,1
"Selk",0.0127916359464683,7.06462774913446,0.583,0,1
"Isg15",0.0130722697176656,-3.68636432100133,0.167,0.75,1
"Rpl28",0.013397271061851,-1.58086039894595,0.25,0.875,1
"Rps10",0.013397271061851,-1.34607930350732,0.25,0.875,1
"Gcnt2",0.0160894282812628,-1.61617425405541,0.167,0.875,1
"Wfdc17",0.0160894282812628,-3.61332134846374,0.25,0.75,1
"Rplp2",0.016633341135281,-1.70805583317792,0.167,0.75,1
"Rpl8",0.016633341135281,-1.78568521815389,0.167,0.75,1
"Rpl18a",0.0187008311270479,-1.52589949328269,0.333,1,1
"Fxyd5",0.0200474885286189,-1.42084378732772,0.417,1,1
"Marcks",0.0202098651191521,-0.690423659720158,0.167,0.875,1
"Lrg1",0.0210195387244401,-1.94467472378235,0.167,0.75,1
"Stk17b",0.0211509943557162,-1.47415656239931,0.25,1,1
"Fth1",0.0228475411571121,-1.00560163003136,0.917,1,1
"Ftl1",0.0228475411571121,0.812246439779911,1,1,1
"Ier5",0.0231027265714595,-1.28331066920586,0.333,1,1
"Rplp1",0.0231027265714595,-1.17746077572494,0.333,1,1
"Gsr",0.0253979311402769,6.56495763388819,0.5,0,1
"Hba-a2",0.0253979311402769,6.6704838210856,0.5,0,1
"S100a11",0.0278905291202465,0.794154706359898,1,1,1
"Dbi",0.0286888103198489,-1.19682439625378,0.083,0.625,1
"Zyx",0.0286888103198489,-1.45675136303971,0.083,0.625,1
"Lrrc25",0.0286888103198489,-0.644381242394413,0.083,0.625,1
"Ifit3b",0.0286888103198489,-1.14987934923145,0.083,0.625,1
"Hck",0.0292545655864068,-3.62110336190888,0.083,0.5,1
"Fabp5",0.0292545655864068,-3.83296804515862,0.083,0.5,1
"Bag1",0.0292545655864068,-2.72173047634231,0.083,0.5,1
"Rps15",0.0292545655864068,-3.69826268676873,0.083,0.5,1
"Anxa11",0.0292545655864068,-2.69947663367014,0.083,0.5,1
"Adprh",0.0292545655864068,-3.81416909203916,0.083,0.5,1
"Rps2",0.0292545655864068,-3.37878836146671,0.083,0.5,1
"Taf7",0.0292545655864068,-3.91581821928249,0.083,0.5,1
"Csnk1a1",0.0292545655864068,-3.65835052680547,0.083,0.5,1
"Ndufb8",0.0292545655864068,-2.77813150956279,0.083,0.5,1
"Hdac4",0.0298677932975399,-4.61754408080365,0,0.375,1
"Fam174a",0.0298677932975399,-4.60373535870934,0,0.375,1
"Elk4",0.0298677932975399,-5.12550398495483,0,0.375,1
"Yme1l1",0.0298677932975399,-4.60512677791895,0,0.375,1
"Dhrs9",0.0298677932975399,-5.07618174837316,0,0.375,1
