"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co1",5.88252502203087e-78,-14.716983921605,0,1,1.22291812683e-73
"mt-Co2",5.88252502203087e-78,-15.0615307977385,0,1,1.22291812683e-73
"mt-Atp6",5.88252502203087e-78,-15.3483831029667,0,1,1.22291812683e-73
"mt-Co3",5.88252502203087e-78,-15.404275767512,0,1,1.22291812683e-73
"mt-Cytb",5.88252502203087e-78,-14.1098964509339,0,1,1.22291812683e-73
"mt-Nd1",1.51858852857603e-76,-13.8857949253238,0,0.984,3.1569936920567e-72
"mt-Nd4",1.51858852857603e-76,-13.6683334905493,0,0.984,3.1569936920567e-72
"mt-Nd2",3.85009540867743e-75,-13.814152048024,0,0.969,8.0039633450995e-71
"Rpl26",2.34520804080374e-72,-12.462038095561,0,0.938,4.8754529960269e-68
"Rpl14",5.63573472649557e-71,-11.7232735606602,0,0.922,1.17161289229116e-66
"Ubb",7.38169630766827e-71,-8.72230348108737,0.01,0.953,1.53458084540116e-66
"Gm42418",3.08689075945929e-68,-11.4169704818494,0,0.891,6.41733719983991e-64
"H3f3b",3.08704567856812e-68,-12.8011945728454,0,0.891,6.41765926117527e-64
"mt-Nd3",7.03776368280576e-67,-11.2587385293402,0,0.875,1.46308069201849e-62
"Gapdh",1.57703302904337e-65,-11.3621642149522,0,0.859,3.27849396407825e-61
"Gm10076",1.57703302904337e-65,-10.9308343706882,0,0.859,3.27849396407825e-61
"Sem1",3.47329052401878e-64,-10.7640162803541,0,0.844,7.22062367038264e-60
"Gm10260",6.89276162406268e-59,-10.747987965505,0,0.781,1.43293621402639e-54
"Selenop",1.39489512502788e-57,-12.332934243355,0,0.766,2.89984747542045e-53
"mt-Nd4l",5.43540155355409e-55,-10.6378451360778,0,0.734,1.12996562896836e-50
"Selenow",1.04679665857025e-53,-10.8423608476394,0,0.719,2.1761855735017e-49
"Elob",1.04679665857025e-53,-10.4624801871262,0,0.719,2.1761855735017e-49
"mt-Nd5",1.98339612650057e-52,-10.5662177241843,0,0.703,4.12328220738204e-48
"Ndufb1-ps",3.69758031349106e-51,-10.491892584126,0,0.688,7.68689971371656e-47
"Selenok",3.69758031349106e-51,-9.89239709934751,0,0.688,7.68689971371656e-47
"Morf4l1",2.66624592281473e-48,-6.41820592117676,0.007,0.688,5.54285864893954e-44
"Selenof",2.1758842255482e-47,-9.94113691805181,0,0.641,4.52344571649215e-43
"Atp5mpl",3.80588866750796e-46,-9.71917722104635,0,0.625,7.91206195088229e-42
"Atp5md",3.80588866750796e-46,-9.86631349870794,0,0.625,7.91206195088229e-42
"Uba52",1.11086331578734e-43,-9.89426827067716,0,0.594,2.3093737471903e-39
"Cops9",1.85419928849045e-42,-9.3888457218016,0,0.578,3.8546949008428e-38
"Micos10",3.04772843611531e-41,-9.4683087317806,0,0.562,6.33592264584011e-37
"Ndufs5",6.27635248697922e-41,-5.8081944478327,0.01,0.609,1.30479091851811e-36
"Tle5",4.93363542003275e-40,-9.45440373177505,0,0.547,1.02565346747061e-35
"Selenos",1.23552522998791e-37,-8.95464221435265,0,0.516,2.56853340062187e-33
"Ighm",1.23552522998791e-37,-9.2783470520139,0,0.516,2.56853340062187e-33
"Ifi202b",1.91179872138038e-36,-9.57396677539724,0,0.5,3.97443836187767e-32
"Cd300c2",1.91179872138038e-36,-9.37476496487325,0,0.5,3.97443836187767e-32
"Jpt1",1.91179872138038e-36,-9.64782961603526,0,0.5,3.97443836187767e-32
"Ndfip1",4.32042972925255e-34,-3.23658160775469,0.062,0.719,8.98174136414313e-30
"Rab5if",4.37892900682411e-34,-8.95463711588699,0,0.469,9.10335551228665e-30
"Dmac1",4.37892900682411e-34,-9.09586013062674,0,0.469,9.10335551228665e-30
"Micos13",4.37892900682411e-34,-9.30653924636213,0,0.469,9.10335551228665e-30
"Rex1bd",9.46156329013599e-32,-8.91336742522964,0,0.438,1.96696439238637e-27
"Rtraf",9.46156329013599e-32,-8.71328754132385,0,0.438,1.96696439238637e-27
"Snu13",9.46156329013599e-32,-8.88687147171253,0,0.438,1.96696439238637e-27
"mt-Atp8",9.46156329013599e-32,-9.09476433863583,0,0.438,1.96696439238637e-27
"Tpt1",6.82723273747532e-31,-2.30724765670143,0.622,1,1.41931341379374e-26
"Rps12",1.35916807668095e-30,-2.74182984534351,0.436,0.969,2.82557451461202e-26
"Eloc",1.36111566461717e-30,-8.99085428104469,0,0.422,2.82962335517264e-26
"Snhg8",1.36111566461717e-30,-8.69607059545203,0,0.422,2.82962335517264e-26
"Tent5a",1.36111566461717e-30,-9.83827055665019,0,0.422,2.82962335517264e-26
"Sepp1",5.17909577801306e-30,11.9056781216803,0.9,0,1.07668222129114e-25
"Ifi207",1.9304483688021e-29,-9.21661005641429,0,0.406,4.01320911390269e-25
"Hnrnpa0",2.32268121931316e-29,-2.84131970419539,0.031,0.562,4.82862198683014e-25
"Isg15",3.07118789001284e-29,-3.72907194633029,0.069,0.641,6.3846925045477e-25
"Taf10",1.05296835028933e-28,-5.02089538560642,0.01,0.453,2.18901590341648e-24
"Uba52,Ubc",1.70136167247904e-27,10.8710238714525,0.856,0,3.53696078091667e-23
"Rpl12",2.3358400697082e-27,-2.20455235459502,0.32,0.984,4.85597792091637e-23
"Pip4p1",3.72318116967604e-27,-8.5350527466325,0,0.375,7.74012133363952e-23
"Rack1",7.05563114216408e-27,-2.27309793189622,0.261,0.938,1.46679515814449e-22
"Trir",5.06444628988882e-26,-8.77983952757468,0,0.359,1.05284773920499e-21
"Otulinl",5.06444628988882e-26,-8.31213063092571,0,0.359,1.05284773920499e-21
"Gm16286",5.06444628988882e-26,-8.26856436820656,0,0.359,1.05284773920499e-21
"Rps21",1.25129220992782e-25,-1.97851805854561,0.498,0.984,2.60131137521894e-21
"Gdpd3",2.35222423760402e-25,-4.09559327854979,0.01,0.406,4.89003896755499e-21
"Fcgr1",6.74496265256142e-25,-2.62531868761692,0.261,0.875,1.40221028584099e-20
"Selenoh",6.79566179199646e-25,-8.91805074969884,0,0.344,1.41275012993814e-20
"Mcrip1",6.79566179199646e-25,-8.37856172989893,0,0.344,1.41275012993814e-20
"Cenpx",6.79566179199646e-25,-8.28426372531163,0,0.344,1.41275012993814e-20
"Tut7",6.79566179199646e-25,-8.28620341588245,0,0.344,1.41275012993814e-20
"H2-T22",6.79566179199646e-25,-8.42200261010016,0,0.344,1.41275012993814e-20
"Pold4",6.79566179199646e-25,-8.29574848450611,0,0.344,1.41275012993814e-20
"Zfp91",6.79566179199646e-25,-8.99556925724029,0,0.344,1.41275012993814e-20
"Bex3",6.79566179199646e-25,-8.31845121096338,0,0.344,1.41275012993814e-20
"Rpsa",9.19783134988081e-25,-2.08203361822644,0.44,1,1.91213715932672e-20
"Irf7",1.43493914477831e-24,-3.83003678588785,0.045,0.516,2.98309498807964e-20
