"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Nd1",0,-18.100084442496,0,1,0
"mt-Co1",0,-18.727050922591,0,1,0
"mt-Co2",0,-19.0047070110495,0,1,0
"mt-Atp6",0,-19.3550932587926,0,1,0
"mt-Co3",0,-19.4401315124086,0,1,0
"mt-Nd4",0,-17.8948971741411,0,1,0
"mt-Cytb",0,-18.3641983947227,0,1,0
"mt-Nd2",0,-18.0814636943124,0,0.999,0
"Ubb",0,-9.15981123486701,0.006,0.986,0
"H3f3b",0,-17.4759619554223,0,0.976,0
"Gm42418",0,-15.7758292684967,0,0.957,0
"Sepp1",0,15.2134407191459,0.955,0,0
"Rpl26",0,-16.040109690632,0,0.948,0
"H3f3a,H3f3b",0,15.0908081792933,0.915,0,0
"mt-Nd3",0,-15.6068990580902,0,0.913,0
"mt-Nd5",0,-15.2176834347438,0,0.879,0
"Rpl14",0,-15.2409420091947,0,0.866,0
"Cd300c2",0,-15.0983571144598,0,0.85,0
"Selenop",0,-15.2186865017076,0,0.846,0
"Uba52,Ubc",0,14.2958702803239,0.838,0,0
"Hba-a2",0,11.0163886392345,0.832,0.008,0
"mt-Nd4l",0,-14.7028564629616,0,0.789,0
"Gapdh",0,-14.7901452805622,0,0.751,0
"Otulinl",0,-14.3763857347182,0,0.727,0
"Gm15772,Rpl26",0,13.5632503105527,0.71,0,0
"Selenok",0,-14.2759709699755,0,0.701,0
"Hbb-bs",0,2.89528761690552,0.77,0.086,0
"Rpl12",0,-2.29188504565948,0.263,0.941,0
"Fus",0,-2.65484461377443,0.107,0.773,0
"Selenof",0,-14.1528775236835,0,0.662,0
"Zeb2",0,-2.74926447583949,0.102,0.763,0
"Gm10076",0,-14.130750982452,0,0.655,0
"Frmd4a",0,-2.62939544697211,0.098,0.75,0
"Selenow",0,-14.2004045713857,0,0.648,0
"Rhoh",0,-2.35483277022782,0.142,0.783,0
"Morf4l1",0,-7.0399269620897,0.004,0.644,0
"Rack1",0,-2.02423562047531,0.218,0.852,0
"Selenos",0,-13.9927001223019,0,0.631,0
"Pmepa1",0,-1.93736318068497,0.201,0.829,0
"Mcl1",0,-2.52284511500752,0.132,0.751,0
"Tmcc3",0,-2.29349363967603,0.107,0.723,0
"Dock4",0,-5.12735951115166,0.011,0.627,0
"Gm10260",0,-13.9600642627684,0,0.616,0
"Mbp",0,-2.0607964816436,0.253,0.868,0
"Hebp1",0,-2.88814304519511,0.071,0.683,0
"Picalm",0,-2.13197086337596,0.183,0.793,0
"Gatm",0,-1.75984412468337,0.306,0.915,0
"Ifi30",0,-2.50631547449429,0.093,0.698,0
"Jmjd1c",0,-2.77643792962432,0.069,0.673,0
"Ifitm3",0,-4.99268596939446,0.052,0.652,0
"Srgap2",0,-1.90284922318438,0.155,0.753,0
"Fosb",0,-3.64552046517658,0.067,0.656,0
"Ssh2",0,-2.02067321880349,0.139,0.728,0
"Nrip1",0,-2.90361964394009,0.059,0.642,0
"Rps12",0,-2.27673511983303,0.399,0.981,0
"Pou2f2",0,-2.35041190433122,0.097,0.674,0
"Luc7l2",0,-2.16888722209544,0.109,0.679,0
"Rps10",0,-1.95523471298521,0.409,0.975,0
"Rps21",0,-1.99106271626995,0.422,0.987,0
"Ndfip1",0,-2.18675295371378,0.081,0.645,0
"Pag1",0,-2.34404993301949,0.094,0.655,0
"E230029C05Rik",0,-2.46095475481408,0.08,0.641,0
"H2-T23",0,-2.20411219281741,0.125,0.682,0
"Tanc2",0,-2.21475500165933,0.095,0.651,0
"Isg15",0,-4.84075176946268,0.025,0.575,0
"Mertk",0,-4.23268943818998,0.018,0.567,0
"Fcgr1",0,-2.60509288091229,0.411,0.96,0
"Ighm",0,-13.7291724982012,0,0.548,0
"Elob",0,-13.6245712679432,0,0.542,0
"Gm47283",0,-13.6388813448406,0,0.54,0
"Arhgap45",0,-13.6927718283357,0,0.538,0
"Pip4p1",0,-13.5522628025717,0,0.525,0
"Bst2",0,-3.27177073141886,0.185,0.709,0
"Sem1",0,-13.4967548275551,0,0.522,0
"Sft2d1",0,3.895439170654,0.789,0.269,0
"Tmx4",0,-4.27139657895256,0.039,0.555,0
"mt-Atp8",0,-13.4771094914116,0,0.515,0
"Irf2bp2",0,-2.15965781429982,0.092,0.6,0
"Ppp1r14b",0,-2.23214863865146,0.074,0.582,0
"Mir99ahg",0,-3.94821200208689,0.021,0.523,0
"Tra2a",0,-2.71667756020766,0.052,0.551,0
"Lgals3bp",0,-2.70821236740672,0.102,0.601,0
"Tpt1",0,-2.3978671357096,0.494,0.993,0
"G530011O06Rik",0,-3.07043626177744,0.04,0.538,0
"Cwc22",0,-4.19874776278451,0.018,0.516,0
"Hnrnpa0",0,-3.37272348499251,0.034,0.528,0
"Git2",0,-2.302873218879,0.076,0.566,0
"Retreg1",0,-13.454542996901,0,0.481,0
"Rapgef5",0,-3.81303191735369,0.018,0.494,0
"Pura",0,-3.19822742843518,0.033,0.509,0
"Nav3",0,-3.22962248446553,0.037,0.511,0
"Bmp2k",0,-3.37888262861759,0.024,0.496,0
"Gm26532",0,-14.2277686045641,0,0.472,0
"Ppp1r10",0,-2.83476520465892,0.051,0.519,0
"Ifi27l2a",0,-5.14114618251695,0.021,0.488,0
"Jpt1",0,-13.2810308558296,0,0.465,0
"Tent5a",0,-13.8252239301801,0,0.46,0
"Stat1",0,-3.9994075531103,0.022,0.481,0
"Uba52",0,-13.2433815308002,0,0.455,0
"Cd180",0,-3.39532463541744,0.035,0.49,0
"Cops9",0,-13.1482971426158,0,0.453,0
