"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",1.06074948155637e-17,-9.57908423433013,0,1,2.20519209720754e-13
"mt-Nd1",1.06074948155637e-17,-10.9612640563438,0,1,2.20519209720754e-13
"mt-Nd2",1.06074948155637e-17,-11.1295268641602,0,1,2.20519209720754e-13
"mt-Co1",1.06074948155637e-17,-12.0048580536607,0,1,2.20519209720754e-13
"mt-Co2",1.06074948155637e-17,-12.1503418921482,0,1,2.20519209720754e-13
"mt-Atp6",1.06074948155637e-17,-12.4063916662352,0,1,2.20519209720754e-13
"mt-Co3",1.06074948155637e-17,-12.6685839206731,0,1,2.20519209720754e-13
"mt-Nd4",1.06074948155637e-17,-11.0114429794937,0,1,2.20519209720754e-13
"mt-Cytb",1.06074948155637e-17,-11.2952158031681,0,1,2.20519209720754e-13
"Rpl26",6.03795984881709e-17,-10.2266153507187,0,0.967,1.25523147297059e-12
"Rpl14",3.29791009455397e-16,-9.45822526635473,0,0.933,6.85602529556824e-12
"H3f3b",3.29791009455397e-16,-9.90126066664971,0,0.933,6.85602529556824e-12
"mt-Nd3",3.29791009455397e-16,-8.84286667495138,0,0.933,6.85602529556824e-12
"Ubb",1.73018359015376e-15,-10.0392020928876,0,0.9,3.59687866557065e-11
"Elob",8.72727968429558e-15,-8.04412005721097,0,0.867,1.81431417356821e-10
"Gapdh",4.23664987648976e-14,-8.66903627310522,0,0.833,8.80757142823456e-10
"Gm10076",4.23664987648976e-14,-8.28216183357072,0,0.833,8.80757142823456e-10
"H3f3a,H3f3b",1.46102648440479e-13,10.0538052498668,0.96,0,3.03732795842911e-09
"Selenow",1.98126335270277e-13,-9.03189002460676,0,0.8,4.11884838393379e-09
"mt-Nd4l",1.98126335270277e-13,-7.75203204440963,0,0.8,4.11884838393379e-09
"mt-Nd5",1.98126335270277e-13,-8.14643523564764,0,0.8,4.11884838393379e-09
"Uba52,Ubc",3.85317786479742e-13,10.0462074161405,0.94,0,8.01037146312735e-09
"Sem1",8.93413301068844e-13,-8.07880799101714,0,0.767,1.85731691159202e-08
"Atp5md",8.93413301068844e-13,-7.51033313964703,0,0.767,1.85731691159202e-08
"Gm15772,Rpl26",2.5117707507223e-12,9.3864260354833,0.9,0,5.2217202136766e-08
"Ndufb1-ps",3.88833698823761e-12,-7.30207096787487,0,0.733,8.08346376484717e-08
"Gm10260",3.88833698823761e-12,-8.16936311018886,0,0.733,8.08346376484717e-08
"Uba52",1.63487286494539e-11,-7.32180780777305,0,0.7,3.39873719893497e-07
"Rps12",4.52690931579431e-11,-2.63416194484133,0.52,0.967,9.4109917766048e-07
"Morf4l1",6.64687265157466e-11,-7.08582922943294,0,0.667,1.38181835553586e-06
"Jpt1",6.64687265157466e-11,-7.34225942374645,0,0.667,1.38181835553586e-06
"Selenok",6.64687265157466e-11,-7.02108378545416,0,0.667,1.38181835553586e-06
"Rps10",7.38521430037528e-11,-2.13054688843684,0.54,1,1.53531220090502e-06
"Rpl14,Rpl14-ps1",8.32828766609428e-11,9.07230668821154,0.82,0,1.73136772290434e-06
"Tpt1",1.2918003501486e-10,-1.95217681749723,0.84,1,2.68552374792392e-06
"Rps27",1.55213236006913e-10,1.63407080312082,0.98,0.967,3.22672796334772e-06
"Rps21",2.4226661597113e-10,-1.93497054400195,0.64,1,5.03648067942382e-06
"Rab5if",2.6155736372145e-10,-6.69485020829571,0,0.633,5.43751603440523e-06
"Tle5",2.6155736372145e-10,-6.9522723161911,0,0.633,5.43751603440523e-06
"mt-Atp8",2.6155736372145e-10,-6.86959298776523,0,0.633,5.43751603440523e-06
"Rpl30",6.80129528584026e-10,-2.08678370880123,0.54,1,1.41392127697333e-05
"Hba-a2",8.53947929815367e-10,5.95838062836478,0.84,0.067,1.77527235129317e-05
"Shfm1",9.38134816386511e-10,8.55057034259201,0.76,0,1.95028846978592e-05
"Cd300c2",9.97091767528317e-10,-7.23894566112873,0,0.6,2.07285407551462e-05
"Isg15",1.10556189583498e-09,-5.61134431379088,0.06,0.7,2.29835262525134e-05
"Rpl35",1.71394090817726e-09,1.7108996945705,0.98,0.9,3.56311175400971e-05
"Fcgr1",1.75433674687758e-09,-4.65869968310403,0.04,0.667,3.6470906630838e-05
"Rps20",2.57511793480934e-09,-1.86419330211306,0.66,1,5.35341267467513e-05
"Rps24",2.95993145013141e-09,-1.4507514863532,0.8,1,6.15340149167818e-05
"Ndufs5",2.96118272942851e-09,-4.46895201008081,0.02,0.633,6.15600277620893e-05
"Rpl12",3.60805372499054e-09,-2.45728127515696,0.4,0.933,7.50078288888284e-05
"Trir",3.68574418105606e-09,-6.06670860853476,0,0.567,7.66229357799745e-05
"Ciao2a",3.68574418105606e-09,-6.50789449751182,0,0.567,7.66229357799745e-05
"Atp5mpl",3.68574418105606e-09,-6.77273619745691,0,0.567,7.66229357799745e-05
"Eno1",1.3223404649325e-08,-6.81017283609917,0,0.533,0.000274901359254817
"Rplp1",2.36430796203895e-08,-1.39315019661633,0.84,1,0.000491515982228277
"Rack1",4.41530272634539e-08,-2.21803509131254,0.44,0.9,0.000917897283779942
"Micos10",4.60893944856102e-08,-6.62793610029404,0,0.5,0.00095815242196135
"Selenop",4.60893944856102e-08,-7.45661891860082,0,0.5,0.00095815242196135
"Micos13",4.60893944856102e-08,-6.61322781161234,0,0.5,0.00095815242196135
"Mbp",4.66202919174318e-08,-2.17869202355895,0.28,0.933,0.000969189248671489
"Selk",1.44253798713804e-07,7.3390747648978,0.62,0,0.00299889222146126
"Cops9",1.56213546052541e-07,-6.27623144873117,0,0.467,0.00324752340888626
"Zfas1",1.56213546052541e-07,-6.63205328270615,0,0.467,0.00324752340888626
"Selenof",1.56213546052541e-07,-6.08881412834265,0,0.467,0.00324752340888626
"Tent5a",1.56213546052541e-07,-6.83784281357565,0,0.467,0.00324752340888626
"Snu13",1.56213546052541e-07,-6.46036701553058,0,0.467,0.00324752340888626
"Tctex1d2",1.56213546052541e-07,-5.85266585439798,0,0.467,0.00324752340888626
"Ifit3",1.56213546052541e-07,-8.00276488243666,0,0.467,0.00324752340888626
"Drap1",1.59586753006082e-07,-3.9320982539417,0.04,0.567,0.00331764900824343
"Lyz1",1.63486348733106e-07,7.66843533036289,0.64,0.033,0.00339871770381254
"Ccl12",2.60916827139282e-07,-7.04863273575188,0.02,0.5,0.00542419991939853
"Rpl5",2.6583403125412e-07,-1.71806246806755,0.46,0.9,0.00552642367574189
"BC004004",2.883008510281e-07,-1.98941670757359,0.08,0.667,0.00599348639202316
"Eloc",5.15382956977197e-07,-5.77592056742799,0,0.433,0.010714296292599
"Ighm",5.15382956977197e-07,-6.07753198741073,0,0.433,0.010714296292599
"Rpl28",5.80570817273959e-07,-1.5346842775798,0.62,1,0.0120694867203083
"2010107E04Rik",9.84021114861145e-07,7.50000477072268,0.56,0,0.0204568149568483
"Mobp",1.35118971117102e-06,-1.9684479041656,0.1,0.667,0.0280898829055343
"Eef1b2",1.40233418033687e-06,-2.02659563870434,0.32,0.833,0.0291531252750233
"Ifi202b",1.65686986939799e-06,-6.63778924744984,0,0.4,0.0344446677149149
"Snhg8",1.65686986939799e-06,-5.43430774719421,0,0.4,0.0344446677149149
"Themis2",1.65686986939799e-06,-5.93977124160924,0,0.4,0.0344446677149149
"Arhgap45",1.65686986939799e-06,-5.71047453710802,0,0.4,0.0344446677149149
"Cenpx",1.65686986939799e-06,-6.16743356391723,0,0.4,0.0344446677149149
"Rtraf",1.65686986939799e-06,-5.8666803232922,0,0.4,0.0344446677149149
"Otulinl",1.65686986939799e-06,-5.75357149457374,0,0.4,0.0344446677149149
"Grk2",1.65686986939799e-06,-6.40533809251814,0,0.4,0.0344446677149149
"Pik3ap1",1.65686986939799e-06,-6.12790153312391,0,0.4,0.0344446677149149
"Hbb-bs",1.84375165076891e-06,-2.08135269165662,0.72,0.1,0.0383297530678349
"Rpsa",1.95226391704998e-06,-1.43494912528171,0.66,1,0.0405856145715521
"Bst2",2.04959840851608e-06,-3.26326203719347,0.32,0.767,0.0426091013146407
"Rpl27a",2.12615957447976e-06,-0.969986974637583,0.9,1,0.0442007313938597
"Cap1",2.16031969268702e-06,-2.45757500876266,0.14,0.667,0.0449108860912704
"Rpl23",2.457596914826e-06,-1.04769521752712,0.9,0.967,0.0510909822623177
"Malat1",2.74945183465811e-06,1.73995779449461,0.94,0.7,0.0571583541907075
"Rpl19",3.17335602315663e-06,-0.938151753421446,0.82,1,0.0659708983654032
"Ptms",3.87608714564692e-06,-2.48870362337506,0.18,0.7,0.0805799756708537
"Rps19",3.90249740660718e-06,0.983726816512264,0.96,0.933,0.0811290185859566
"Rps8",4.03555518332937e-06,-1.17262049913126,0.84,0.967,0.0838951567062343
"Ccnt2",5.19607602056756e-06,-5.21955247979316,0,0.367,0.108021224391579
"Cd244a",5.19607602056756e-06,-5.40079396677851,0,0.367,0.108021224391579
"Gm11808",5.19607602056756e-06,-5.42975461207462,0,0.367,0.108021224391579
"Ranbp2",5.19607602056756e-06,-5.58751980904823,0,0.367,0.108021224391579
"9930111J21Rik2",5.19607602056756e-06,-5.61308344643919,0,0.367,0.108021224391579
"Tut7",5.19607602056756e-06,-5.56103819711055,0,0.367,0.108021224391579
"Phf11d",5.19607602056756e-06,-6.34082073413865,0,0.367,0.108021224391579
"Csnk2b",5.19607602056756e-06,-6.41639459493763,0,0.367,0.108021224391579
"CAAA01118383.1",5.19607602056756e-06,-5.09419005532874,0,0.367,0.108021224391579
"Tceb2",5.90702732913288e-06,7.16939267500056,0.5,0,0.122801191145344
"Gatm",8.56739445061934e-06,-0.695197032801477,0.1,0.633,0.178107563233926
"Taf10",1.00048450321295e-05,-2.72671148030728,0.04,0.467,0.207990723372941
"Ppp2ca",1.00048450321295e-05,-2.44794329437056,0.04,0.467,0.207990723372941
"Myeov2",1.04531742934298e-05,7.21581518935591,0.48,0,0.217311040386112
"Usmg5",1.04531742934298e-05,7.26192977872995,0.48,0,0.217311040386112
"B2m",1.17207291276447e-05,1.14898672155609,1,1,0.243662237834606
"Rps18",1.17491679975361e-05,1.60357489015561,0.84,0.767,0.244253453500779
"Mbd2",1.38680252542961e-05,-1.07067657652283,0.04,0.467,0.288302377011563
"Picalm",1.46408716929212e-05,-1.81528636354459,0.08,0.567,0.304369081624139
"Ifi207",1.59152824521071e-05,-5.34404190395186,0,0.333,0.330862806896854
"Dmac1",1.59152824521071e-05,-5.4302860690076,0,0.333,0.330862806896854
"Ybx3",1.59152824521071e-05,-5.42877451748235,0,0.333,0.330862806896854
"Nop53",1.59152824521071e-05,-5.62716016917328,0,0.333,0.330862806896854
"Selenos",1.59152824521071e-05,-7.07740133372662,0,0.333,0.330862806896854
"Rex1bd",1.59152824521071e-05,-5.72019930648493,0,0.333,0.330862806896854
"Tpm3-rs7",1.59152824521071e-05,-5.91241174994369,0,0.333,0.330862806896854
"H2-T22",1.59152824521071e-05,-6.23765268360492,0,0.333,0.330862806896854
"Gm16286",1.59152824521071e-05,-5.37559231366458,0,0.333,0.330862806896854
"Zfp91",1.59152824521071e-05,-5.33363264857355,0,0.333,0.330862806896854
"Pcsk1n",1.59152824521071e-05,-5.61406736415511,0,0.333,0.330862806896854
"Isg20",1.61214906150721e-05,-3.6791425408661,0.04,0.433,0.335149668396734
"Pou2f2",2.47989552513987e-05,-3.20819849277007,0.06,0.467,0.515545480721328
"Tmsb10",2.65836577413306e-05,1.88897160575744,0.86,0.833,0.552647660784521
"Irf7",2.69602458915813e-05,-2.78401290794693,0.16,0.6,0.560476551840084
"Aimp1",2.71645511985494e-05,-2.66228769601669,0.04,0.433,0.564723854866644
"Eef1a1",2.96614929477815e-05,-1.05211643598124,0.86,0.967,0.61663277689143
"Tor3a",2.97452339204237e-05,-4.32008166688864,0.02,0.367,0.618373667971688
"Ftl1",3.12610662632856e-05,1.11483210930247,0.98,0.967,0.649886306547445
"Mapkapk2",3.19070218459509e-05,-4.28659344925528,0.02,0.367,0.663315077155472
"AW112010",3.57651045612101e-05,-2.56976569485824,0.06,0.467,0.743520758722997
"Arglu1",3.6686414624808e-05,-3.83166779667083,0.02,0.367,0.762673873635135
"Tgoln1",3.93237972552989e-05,-4.04359799940026,0.02,0.367,0.81750242114041
"Ms4a6b",4.15774879545955e-05,-2.46024268066872,0.12,0.567,0.864354397088087
"Cdc40",4.21404774209022e-05,-3.17183724231808,0.02,0.367,0.876058385103135
"Ifi211",4.76747403095516e-05,-5.43899503868838,0,0.3,0.991110176295269
"Pira2",4.76747403095516e-05,-5.34693561699159,0,0.3,0.991110176295269
"Ngrn",4.76747403095516e-05,-5.53048751560102,0,0.3,0.991110176295269
"Hpf1",4.76747403095516e-05,-4.79020005706846,0,0.3,0.991110176295269
"Chd9",4.76747403095516e-05,-4.81887008980255,0,0.3,0.991110176295269
"Ciao2b",4.76747403095516e-05,-5.83463961737575,0,0.3,0.991110176295269
