"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co1",0,-17.4970641231405,0,1,0
"mt-Co2",0,-17.731237156886,0,1,0
"mt-Atp6",0,-18.1117534518216,0,1,0
"mt-Nd4",0,-16.4434129280025,0,1,0
"mt-Cytb",0,-17.2219248487993,0,1,0
"mt-Nd1",0,-16.4859123133178,0,0.994,0
"mt-Nd2",0,-16.3695237243227,0,0.994,0
"mt-Co3",0,-18.1773562876182,0,0.994,0
"Gm42418",0,-13.7321997343906,0,0.972,0
"Ubb",0,-11.583519330286,0.002,0.972,0
"Selenow",0,-14.3858735692319,0,0.96,0
"mt-Nd3",0,-14.0932963366045,0,0.943,0
"Rpl26",0,-15.1839535661204,0,0.938,0
"Rpl14",0,-14.665400679185,0,0.932,0
"mt-Nd5",0,-13.8484834771557,0,0.92,0
"H3f3b",0,-16.2254364944841,0,0.909,0
"Elob",0,-13.9842993261705,0,0.909,0
"mt-Nd4l",0,-13.4756119177076,0,0.909,0
"Gapdh",0,-14.5297102909028,0,0.892,0
"Selenok",0,-13.4526348195533,0,0.864,0
"Gm10076",0,-13.6744906262087,0,0.864,0
"Atp5mpl",0,-13.085593825569,0,0.858,0
"Morf4l1",0,-5.11073626040679,0.016,0.869,0
"Sem1",0,-13.6535318477869,0,0.852,0
"Atp5md",0,-13.3073669117485,0,0.847,0
"Bex3",0,-13.1041037089503,0,0.824,0
"Tle5",0,-13.1567270067639,0,0.812,0
"Jpt1",0,-13.6398356971734,0,0.79,0
"Ndufb1-ps",0,-12.932785012115,0,0.778,0
"Gm10260",0,-13.0206051371661,0,0.773,0
"Snu13",0,-12.4332243455753,0,0.761,0
"Tceal9",0,-12.6096817793959,0,0.756,0
"Selenof",0,-12.6135824394733,0,0.75,0
"Uba52",0,-12.5563971532905,0,0.75,0
"Rtraf",0,-12.5530341388908,0,0.75,0
"Cops9",0,-12.5940611132277,0,0.739,0
"Micos10",0,-12.4445962559655,0,0.733,0
"Selenoh",0,-13.1468620701286,0,0.727,0
"Micos13",0,-12.4932298075584,0,0.727,0
"Rex1bd",0,-12.2077936689262,0,0.693,0
"Trir",0,-12.1241437231331,0,0.693,0
"Eloc",0,-11.9671668621756,0,0.676,0
"Gm47283",0,-12.6199286082656,0,0.67,0
"mt-Atp8",2.05997012767705e-297,-11.8647915253492,0,0.648,4.28247189842781e-293
"4632427E13Rik",2.62668959930407e-255,-6.25714462162349,0.004,0.602,5.46062500799324e-251
"Rbis",4.48697582935453e-254,-11.2447713962235,0,0.557,9.32797405164514e-250
"Zfp91",4.48697582935453e-254,-11.2630574933698,0,0.557,9.32797405164514e-250
"Fmc1",1.05862622620081e-248,-11.3871284047699,0,0.545,2.20077806164887e-244
"Hdgfl3",5.09866983664212e-246,-11.3630509634041,0,0.54,1.05996247233953e-241
"Cenpx",5.50696276965353e-238,-11.1691211020774,0,0.523,1.14484249018327e-233
"Hikeshi",2.59324824705878e-235,-11.1665941207863,0,0.517,5.39110378081049e-231
"Nsd2",1.21433225879734e-232,-11.4436099371802,0,0.511,2.52447533281378e-228
"Mir100hg",1.21433225879734e-232,-11.8034475685063,0,0.511,2.52447533281378e-228
"Snrpn",3.57036697358169e-227,-10.0165503773552,0.001,0.506,7.42243590137898e-223
"Hpf1",1.20563380863289e-224,-11.2313537932615,0,0.494,2.50639212476692e-220
"Mrpl58",1.20563380863289e-224,-11.0735155098114,0,0.494,2.50639212476692e-220
"Snhg8",1.52872264441593e-218,-7.07075831224796,0.001,0.494,3.17806150547628e-214
