"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Nd1",0,-16.8348228808909,0,1,0
"mt-Co1",0,-18.0675675227631,0,1,0
"mt-Co2",0,-18.2641254947742,0,1,0
"mt-Atp6",0,-18.6544966084457,0,1,0
"mt-Co3",0,-18.7165344228567,0,1,0
"mt-Nd4",0,-16.6863471819739,0,1,0
"mt-Cytb",0,-17.4295521124712,0,1,0
"Ubb",0,-14.0321894552938,0.001,0.999,0
"mt-Nd2",0,-16.4903534412615,0,0.997,0
"mt-Nd3",0,-14.5359342979429,0,0.995,0
"Selenow",0,-14.4971300019448,0,0.992,0
"Gm42418",0,-14.4915429572611,0,0.992,0
"Selenok",0,-14.6804245474434,0,0.991,0
"Rpl26",0,-14.2766976792654,0,0.99,0
"H3f3b",0,-14.8077310475703,0,0.99,0
"Rpl14",0,-14.1458019087927,0,0.987,0
"Gapdh",0,-14.3189108767665,0,0.984,0
"mt-Nd5",0,-13.9273547928857,0,0.983,0
"Elob",0,-13.896292011052,0,0.982,0
"mt-Nd4l",0,-13.8810861278395,0,0.976,0
"Tle5",0,-13.5979013056945,0,0.965,0
"Selenof",0,-13.5696656882663,0,0.962,0
"H3f3a,H3f3b",0,15.1520599100721,0.956,0,0
"Morf4l1",0,-7.02564422733005,0.011,0.956,0
"Selk",0,14.4984238509628,0.939,0,0
"Plaat3",0,-13.6512083079245,0,0.932,0
"Uba52,Ubc",0,14.0973510238273,0.93,0,0
"Hba-a2",0,8.92785351907999,0.943,0.014,0
"Selenos",0,-13.0581740184003,0,0.925,0
"Selenom",0,-13.3386881519114,0,0.923,0
"Sepw1",0,13.9158808410901,0.915,0,0
"Sem1",0,-12.8495025466285,0,0.899,0
"Rpl14,Rpl14-ps1",0,13.5892150139436,0.893,0,0
"Ndufb1-ps",0,-12.687836307746,0,0.889,0
"mt-Atp8",0,-12.6682186677646,0,0.88,0
"Ss18l2",0,-13.1228814637303,0,0.879,0
"Cystm1",0,-5.27152075401879,0.044,0.921,0
"Atp5md",0,-12.6465546698724,0,0.874,0
"Cops9",0,-12.7256104384926,0,0.868,0
"Snu13",0,-12.5960603153509,0,0.867,0
"Tceb2",0,13.3148314410768,0.864,0,0
"Micos10",0,-12.4601720861065,0,0.855,0
"Gm15772,Rpl26",0,13.3504199549937,0.852,0,0
"Sep15",0,13.3964756573901,0.851,0,0
"Atp5mpl",0,-12.4643340270623,0,0.847,0
"Gm10076",0,-12.5614085381119,0,0.843,0
"Retreg1",0,-12.5966557737434,0,0.84,0
"Gna12",0,-8.30108003009995,0.004,0.829,0
"Rex1bd",0,-12.3102213271535,0,0.817,0
"Eloc",0,-12.2558040750645,0,0.814,0
"Hbb-bs",0,0.917350142575415,0.92,0.125,0
"Usmg5",0,12.8333507507708,0.786,0,0
"Schip1",0,-9.60756420823768,0.001,0.786,0
"Micos13",0,-12.2154824692232,0,0.784,0
"Ndufs5",0,-3.32554887408622,0.174,0.954,0
"Erg28",0,-12.1288245563378,0,0.773,0
"Kmt5a",0,-12.2640139832832,0,0.771,0
"Shfm1",0,12.7870386468193,0.771,0,0
"Snrpn",0,-7.89470457442401,0.003,0.771,0
"Rtraf",0,-12.0642512451144,0,0.767,0
"Trir",0,-12.0167823684493,0,0.761,0
"2010107E04Rik",0,12.6340552011673,0.761,0,0
"Ptp4a1",0,8.36549942305727,0.767,0.011,0
"Pura",0,-3.1485342505987,0.149,0.895,0
"Myeov2",0,12.508801939427,0.745,0,0
"Stxbp3",0,-12.0551280338249,0,0.74,0
"Mcrip1",0,-11.9328321671697,0,0.739,0
"Erbin",0,-12.1682014322767,0,0.739,0
"Minos1",0,12.5196666196975,0.738,0,0
"Vimp",0,12.5261680504797,0.734,0,0
"Rab5if",0,-11.9061976559832,0,0.732,0
"Magi1",0,-3.34087419621641,0.091,0.821,0
"Gm10260",0,-11.9399919345555,0,0.729,0
"Gabbr1",0,-3.01446138999665,0.109,0.831,0
"Zfp91",0,-11.9442531621914,0,0.718,0
"Selenot",0,-11.818436697965,0,0.707,0
"Sepp1",0,13.9943204971864,0.707,0,0
"Cavin3",0,-12.2726501793027,0,0.704,0
"Aig1",0,-2.78773596497384,0.148,0.85,0
"Pla2g16",0,12.3917105523059,0.698,0,0
"Dpy19l1",0,-3.1026401397944,0.248,0.945,0
"Lrp1b",0,-4.57975705396692,0.033,0.728,0
"Csnk2b",0,-5.98456248053021,0.008,0.703,0
"Rtl8a",0,-11.8216878776265,0,0.695,0
"Sv2a",0,-2.73685217685851,0.199,0.882,0
"Nutf2",0,7.2730651737272,0.698,0.018,0
"Tceb1",0,12.2232836236639,0.678,0,0
"Smim26",0,-11.628779190144,0,0.675,0
"5031439G07Rik",0,-2.81182118348891,0.131,0.806,0
"Zbtb20",0,-2.28396480829632,0.181,0.852,0
"Selenop",0,-13.6333581824346,0,0.668,0
"Rhou",0,-2.98148170121037,0.14,0.807,0
"Mast4",0,-2.78812273036196,0.186,0.853,0
"Sema4d",0,-3.64684697609278,0.058,0.725,0
"Deb1",0,12.2905837213168,0.664,0,0
"Ciao2b",0,-11.5591012756746,0,0.661,0
"Ndfip1",0,-2.60873679033466,0.305,0.961,0
"Amd1",0,-11.6932968500205,0,0.652,0
"Zfp536",0,-2.78398399600215,0.136,0.786,0
"Rxylt1",0,-11.5850397481007,0,0.647,0
"Fam177a",0,5.33712693129451,0.758,0.115,0
"Cdc42bpa",0,-2.65301278056752,0.151,0.793,0
"Nsmce3",0,-11.4403431128318,0,0.638,0
"Naxd",0,-11.4833638594751,0,0.635,0
"Adi1",0,-2.26566845454861,0.223,0.858,0
"Nhp2l1",0,11.9521283024815,0.634,0,0
"Creb5",0,-2.37461677134095,0.197,0.826,0
"Rab21",0,-3.13936002556679,0.074,0.7,0
"Mrpl58",0,-11.434231644159,0,0.619,0
"0610007P14Rik",0,12.0180107853479,0.618,0,0
"Rpl12",0,-1.91789008253805,0.336,0.952,0
"Rtl8b",0,-11.4599969657211,0,0.609,0
"Naxe",0,-11.3646713257546,0,0.603,0
"Erbb3",0,-6.97873573227895,0.004,0.607,0
"Uba52",0,-11.4079730786246,0,0.602,0
"Taf10",0,-2.8950919479631,0.086,0.683,0
"Arl1",0,-4.70415781430853,0.023,0.616,0
"Fcho1",0,-5.92516995442843,0.005,0.595,0
"Prxl2a",0,-11.4885472957391,0,0.59,0
"Prox1",0,-3.6597216321412,0.048,0.635,0
"Eid1",0,-2.02928266500842,0.362,0.948,0
"Rack1",0,-1.63444796508422,0.366,0.952,0
"Tceal9",0,-11.3774662463006,0,0.584,0
"Eef1b2",0,-1.73604714842333,0.377,0.957,0
"Fnbp1",0,-2.07585106452855,0.309,0.887,0
"1190005I06Rik",0,-7.93772438185084,0.002,0.573,0
