"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mt-Co1",0,2.86614494121238,1,0.141,0,"C_1m","mt-Co1"
"mt-Co2",0,2.97096815152178,1,0.141,0,"C_1m","mt-Co2"
"mt-Atp6",0,2.94135146981593,1,0.141,0,"C_1m","mt-Atp6"
"mt-Co3",0,2.91421310679609,1,0.141,0,"C_1m","mt-Co3"
"mt-Nd4",0,2.85304697554389,1,0.141,0,"C_1m","mt-Nd4"
"mt-Cytb",0,2.76217202470573,1,0.141,0,"C_1m","mt-Cytb"
"mt-Nd1",0,3.02779321072541,0.999,0.141,0,"C_1m","mt-Nd1"
"mt-Nd2",0,2.88335393697303,0.999,0.141,0,"C_1m","mt-Nd2"
"mt-Nd3",0,1.95170552410703,0.898,0.136,0,"C_1m","mt-Nd3"
"mt-Nd5",0,2.86318886363174,0.863,0.12,0,"C_1m","mt-Nd5"
"Gm42418",0,1.83168226000055,0.876,0.137,0,"C_1m","Gm42418"
"mt-Nd4l",0,2.99244237470588,0.791,0.107,0,"C_1m","mt-Nd4l"
"Ubb",0,2.77552246126012,0.772,0.113,0,"C_1m","Ubb"
"Selenow",0,3.71495667247574,0.728,0.081,0,"C_1m","Selenow"
"Rpl26",0,2.83971076327737,0.748,0.105,0,"C_1m","Rpl26"
"Gapdh",0,2.73175400365949,0.651,0.097,0,"C_1m","Gapdh"
"Rpl14",0,2.72853706704162,0.581,0.087,0,"C_1m","Rpl14"
"mt-Atp8",0,3.29477699297507,0.551,0.069,0,"C_1m","mt-Atp8"
"Selenok",0,3.00812738991049,0.515,0.072,0,"C_1m","Selenok"
"H3f3b",0,2.64823708664262,0.512,0.076,0,"C_1m","H3f3b"
"Elob",0,2.74780298072002,0.489,0.073,0,"C_1m","Elob"
"Selenop",0,2.6417791714958,0.488,0.073,0,"C_1m","Selenop"
"Selenof",0,2.90016776356376,0.483,0.07,0,"C_1m","Selenof"
"Atp5md",0,3.10241826036611,0.464,0.061,0,"C_1m","Atp5md"
"Gm10076",0,3.05327485097258,0.455,0.061,0,"C_1m","Gm10076"
"Cops9",0,3.36457911443773,0.409,0.051,0,"C_1m","Cops9"
"Ndufs5",0,2.31772810983586,0.455,0.103,0,"C_1m","Ndufs5"
"Atp5mpl",0,2.95905623748584,0.402,0.056,0,"C_1m","Atp5mpl"
"Ndufb1-ps",0,2.8605637894334,0.388,0.056,0,"C_1m","Ndufb1-ps"
"Gm10260",0,10.7937935566527,0.326,0,0,"C_1m","Gm10260"
"Tle5",0,2.80669886611147,0.384,0.059,0,"C_1m","Tle5"
"Rps28",0,1.03602003624119,0.728,0.406,0,"C_1m","Rps28"
"Micos10",0,2.93826592327678,0.374,0.053,0,"C_1m","Micos10"
"Gas5",0,1.47623864375522,0.567,0.25,0,"C_1m","Gas5"
"Morf4l1",0,2.61768108056067,0.375,0.062,0,"C_1m","Morf4l1"
